Wk,Day,Date,Home,xG,Score,xG,Away,Attendance,Venue,Referee
23,Sat,2/9/19,Parma,0.5,0–1,2.1,Inter,18155,Stadio Ennio Tardini,Massimiliano Irrati
23,Sun,2/10/19,Bologna,1.3,1–1,0.8,Genoa,17385,Stadio Renato Dall'Ara,Gianluca Rocchi
23,Sun,2/10/19,Torino,1.7,1–0,2.2,Udinese,16557,Stadio Olimpico di Torino,Marco Guida
23,Sun,2/10/19,Atalanta,2,2–1,0.9,SPAL,18342,Stadio Atleti Azzurri d'Italia,Davide Massa
23,Sun,2/10/19,Sampdoria,0.6,0–1,0.4,Frosinone,18937,Stadio Comunale Luigi Ferraris,Livio Marinelli
23,Sun,2/10/19,Sassuolo,1.1,0–3,1.6,Juventus,21584,Stadio Città del Tricolore,Paolo Mazzoleni
23,Sun,2/10/19,Milan,1.8,3–0,1.1,Cagliari,45576,Stadio Giuseppe Meazza,Federico La Penna
,,,,,,,,,,
24,Fri,2/15/19,Juventus,1.4,3–0,0.6,Frosinone,10570,Allianz Stadium,Antonio Giua
24,Sat,2/16/19,Cagliari,1.3,2–1,0.4,Parma,16119,Sardegna Arena,Gianluca Manganiello
24,Sat,2/16/19,Atalanta,0.8,1–3,0.7,Milan,20801,Stadio Atleti Azzurri d'Italia,Fabrizio Pasqua
24,Sun,2/17/19,SPAL,0.9,1–4,3,Fiorentina,37294,Stadio Paolo Mazza,Luca Pairetto
24,Sun,2/17/19,Udinese,1.3,1–0,1.5,Chievo,18008,Dacia Arena,Paolo Valeri
24,Sun,2/17/19,Genoa,1.2,2–1,0.6,Lazio,19936,Stadio Comunale Luigi Ferraris,Luca Banti
24,Sun,2/17/19,Empoli,1.2,3–0,0.6,Sassuolo,7202,Stadio Carlo Castellani,Maurizio Mariani
24,Sun,2/17/19,Inter,2.1,2–1,1.3,Sampdoria,55127,Stadio Giuseppe Meazza,Daniele Doveri
24,Sun,2/17/19,Napoli,2.7,0–0,0.5,Torino,21830,Stadio San Paolo,Michael Fabbri
24,Mon,2/18/19,Roma,1.7,2–1,2,Bologna,31572,Stadio Olimpico,Marco Di Bello
,,,,,,,,,,
25,Fri,2/22/19,Milan,1.4,3–0,0.6,Empoli,47866,Stadio Giuseppe Meazza,Piero Giacomelli
25,Sat,2/23/19,Torino,1.2,2–0,0.9,Atalanta,21062,Stadio Olimpico di Torino,Daniele Orsato
25,Sat,2/23/19,Frosinone,1.5,2–3,2,Roma,15063,Stadio Benito Stirpe,Gianluca Manganiello
25,Sun,2/24/19,Sampdoria,2.7,1–0,0.6,Cagliari,18840,Stadio Comunale Luigi Ferraris,Luca Massimi
25,Sun,2/24/19,Sassuolo,0.4,1–1,1.1,SPAL,11554,Stadio Città del Tricolore,Fabio Maresca
25,Sun,2/24/19,Chievo,0.4,0–0,0.5,Genoa,10500,Stadio Marc'Antonio Bentegodi,Manuel Volpi
25,Sun,2/24/19,Bologna,1,0–1,0.4,Juventus,28934,Stadio Renato Dall'Ara,Giampaolo Calvarese
25,Sun,2/24/19,Parma,0.4,0–4,1.4,Napoli,18478,Stadio Ennio Tardini,Daniele Chiffi
25,Sun,2/24/19,Fiorentina,1.8,3–3,1.5,Inter,32824,Stadio Artemio Franchi,Rosario Abisso
,,,,,,,,,,
26,Fri,3/1/19,Cagliari,1.7,2–1,1.5,Inter,16223,Sardegna Arena,Luca Banti
26,Sat,3/2/19,Empoli,2.8,3–3,2,Parma,8404,Stadio Carlo Castellani,Marco Di Bello
26,Sat,3/2/19,Milan,1.1,1–0,0.7,Sassuolo,61462,Stadio Giuseppe Meazza,Paolo Valeri
26,Sat,3/2/19,Lazio,1.9,3–0,1,Roma,53112,Stadio Olimpico,Paolo Mazzoleni
26,Sun,3/3/19,Torino,1.3,3–0,1,Chievo,25269,Stadio Olimpico di Torino,Federico La Penna
26,Sun,3/3/19,SPAL,1,1–2,0.7,Sampdoria,12731,Stadio Paolo Mazza,Fabrizio Pasqua
26,Sun,3/3/19,Genoa,0.8,0–0,0.4,Frosinone,19920,Stadio Comunale Luigi Ferraris,Maurizio Mariani
26,Sun,3/3/19,Udinese,1.5,2–1,1.8,Bologna,18349,Dacia Arena,Davide Massa
26,Sun,3/3/19,Atalanta,2.1,3–1,0.5,Fiorentina,18796,Stadio Atleti Azzurri d'Italia,Marco Guida
26,Sun,3/3/19,Napoli,2.5,1–2,0.3,Juventus,42667,Stadio San Paolo,Gianluca Rocchi
,,,,,,,,,,
27,Fri,3/8/19,Juventus,2.2,4–1,0.1,Udinese,39987,Allianz Stadium,Daniele Chiffi
27,Sat,3/9/19,Parma,0.8,1–0,0.8,Genoa,14787,Stadio Ennio Tardini,Juan Sacchi
27,Sat,3/9/19,Chievo,0.3,1–2,1.3,Milan,20000,Stadio Marc'Antonio Bentegodi,Luca Pairetto
27,Sun,3/10/19,Bologna,2.7,2–0,0.7,Cagliari,20557,Stadio Renato Dall'Ara,Massimiliano Irrati
27,Sun,3/10/19,Sampdoria,2,1–2,1.7,Atalanta,20896,Stadio Comunale Luigi Ferraris,Michael Fabbri
27,Sun,3/10/19,Frosinone,0.7,1–2,1.3,Torino,14165,Stadio Benito Stirpe,Piero Giacomelli
27,Sun,3/10/19,Inter,0.9,2–0,0.3,SPAL,61339,Stadio Giuseppe Meazza,Giampaolo Calvarese
27,Sun,3/10/19,Sassuolo,1,1–1,0.6,Napoli,14969,Stadio Città del Tricolore,Gianluca Manganiello
27,Sun,3/10/19,Fiorentina,0.5,1–1,0.9,Lazio,28727,Stadio Artemio Franchi,Daniele Orsato
27,Mon,3/11/19,Roma,0.7,2–1,0.4,Empoli,34508,Stadio Olimpico,Fabio Maresca
,,,,,,,,,,
28,Fri,3/15/19,Cagliari,1.1,2–1,0.5,Fiorentina,14735,Sardegna Arena,Daniele Doveri
28,Sat,3/16/19,Sassuolo,1.6,3–5,1.8,Sampdoria,11193,Stadio Città del Tricolore,Federico Dionisi
28,Sat,3/16/19,SPAL,1.1,2–1,1.7,Roma,15089,Stadio Paolo Mazza,Gianluca Rocchi
28,Sat,3/16/19,Torino,1.4,2–3,2.4,Bologna,24863,Stadio Olimpico di Torino,Maurizio Mariani
28,Sun,3/17/19,Genoa,1.3,2–0,0.4,Juventus,30695,Stadio Comunale Luigi Ferraris,Marco Di Bello
28,Sun,3/17/19,Atalanta,1.9,1–1,0.7,Chievo,18537,Stadio Atleti Azzurri d'Italia,Massimiliano Irrati
28,Sun,3/17/19,Empoli,2,2–1,1.4,Frosinone,10000,Stadio Carlo Castellani,Davide Massa
28,Sun,3/17/19,Lazio,1.8,4–1,0.3,Parma,38000,Stadio Olimpico,Luca Banti
28,Sun,3/17/19,Napoli,1.3,4–2,0.9,Udinese,25718,Stadio San Paolo,Paolo Valeri
28,Sun,3/17/19,Milan,1.2,2–3,2.5,Inter,77749,Stadio Giuseppe Meazza,Marco Guida
,,,,,,,,,,
29,Fri,3/29/19,Chievo,0.9,0–3,1.1,Cagliari,10000,Stadio Marc'Antonio Bentegodi,Rosario Abisso
29,Sat,3/30/19,Udinese,1.8,2–0,1.5,Genoa,17072,Dacia Arena,Luca Pairetto
29,Sat,3/30/19,Juventus,1.4,1–0,0.4,Empoli,39290,Allianz Stadium,Federico La Penna
29,Sat,3/30/19,Sampdoria,1.7,1–0,0.6,Milan,23475,Stadio Comunale Luigi Ferraris,Daniele Orsato
29,Sun,3/31/19,Parma,0.8,1–3,3.2,Atalanta,18168,Stadio Ennio Tardini,Daniele Chiffi
29,Sun,3/31/19,Frosinone,0.9,0–1,0.3,SPAL,12969,Stadio Benito Stirpe,Marco Di Bello
29,Sun,3/31/19,Fiorentina,2.7,1–1,0.5,Torino,36707,Stadio Artemio Franchi,Fabrizio Pasqua
29,Sun,3/31/19,Roma,1.7,1–4,2.5,Napoli,36525,Stadio Olimpico,Giampaolo Calvarese
29,Sun,3/31/19,Bologna,1.9,2–1,0.5,Sassuolo,23551,Stadio Renato Dall'Ara,Marco Guida
29,Sun,3/31/19,Inter,0.9,0–1,1.2,Lazio,56348,Stadio Giuseppe Meazza,Paolo Mazzoleni
,,,,,,,,,,
30,Tue,4/2/19,Milan,1.8,1–1,0.9,Udinese,49665,Stadio Giuseppe Meazza,Luca Banti
30,Tue,4/2/19,Cagliari,0.6,0–2,2.6,Juventus,15958,Sardegna Arena,Piero Giacomelli
30,Wed,4/3/19,Empoli,1.7,2–1,0.7,Napoli,10911,Stadio Carlo Castellani,Daniele Doveri
30,Wed,4/3/19,Genoa,0.4,0–4,2.4,Inter,21865,Stadio Comunale Luigi Ferraris,Maurizio Mariani
30,Wed,4/3/19,Roma,1.3,2–2,0.8,Fiorentina,30123,Stadio Olimpico,Davide Massa
30,Wed,4/3/19,SPAL,1.3,1–0,0.7,Lazio,13415,Stadio Paolo Mazza,Marco Guida
30,Wed,4/3/19,Torino,1,2–1,0.3,Sampdoria,22618,Stadio Olimpico di Torino,Fabio Maresca
30,Wed,4/3/19,Frosinone,1.9,3–2,1.8,Parma,12285,Stadio Benito Stirpe,Gianluca Manganiello
30,Thu,4/4/19,Sassuolo,1.5,4–0,1.5,Chievo,9193,Stadio Città del Tricolore,Lorenzo Maggioni
30,Thu,4/4/19,Atalanta,1.4,4–1,1.2,Bologna,18441,Stadio Atleti Azzurri d'Italia,Gianluca Rocchi
,,,,,,,,,,
31,Sat,4/6/19,Parma,0.7,0–0,0.9,Torino,16924,Stadio Ennio Tardini,Daniele Doveri
31,Sat,4/6/19,Juventus,2,2–1,1.4,Milan,40057,Allianz Stadium,Michael Fabbri
31,Sat,4/6/19,Sampdoria,1.1,0–1,1.9,Roma,19594,Stadio Comunale Luigi Ferraris,Paolo Mazzoleni
31,Sun,4/7/19,Fiorentina,1.6,0–1,0.7,Frosinone,26958,Stadio Artemio Franchi,Daniele Chiffi
31,Sun,4/7/19,Udinese,2.3,3–2,1.6,Empoli,22537,Dacia Arena,Daniele Orsato
31,Sun,4/7/19,Cagliari,2.4,2–1,1.1,SPAL,16121,Sardegna Arena,Luca Banti
31,Sun,4/7/19,Inter,1.2,0–0,1.3,Atalanta,35000,Stadio Giuseppe Meazza,Massimiliano Irrati
31,Sun,4/7/19,Lazio,3.3,2–2,1,Sassuolo,37487,Stadio Olimpico,Rosario Abisso
31,Sun,4/7/19,Napoli,1.7,1–1,0.7,Genoa,22935,Stadio San Paolo,Fabrizio Pasqua
31,Mon,4/8/19,Bologna,2.3,3–0,0.5,Chievo,19107,Stadio Renato Dall'Ara,Luca Pairetto
,,,,,,,,,,
32,Sat,4/13/19,SPAL,1,2–1,0.5,Juventus,16000,Stadio Paolo Mazza,Daniele Doveri
32,Sat,4/13/19,Roma,1.8,1–0,0.6,Udinese,34449,Stadio Olimpico,Marco Di Bello
32,Sat,4/13/19,Milan,1.7,1–0,1.2,Lazio,61216,Stadio Giuseppe Meazza,Gianluca Rocchi
32,Sun,4/14/19,Torino,1.3,1–1,0.8,Cagliari,23869,Stadio Olimpico di Torino,Massimiliano Irrati
32,Sun,4/14/19,Sampdoria,2.5,2–0,1,Genoa,30548,Stadio Comunale Luigi Ferraris,Giampaolo Calvarese
32,Sun,4/14/19,Fiorentina,0.7,0–0,0.1,Bologna,29394,Stadio Artemio Franchi,Piero Giacomelli
32,Sun,4/14/19,Sassuolo,1.6,0–0,0.8,Parma,12538,Stadio Città del Tricolore,Marco Piccinini
32,Sun,4/14/19,Chievo,0.2,1–3,1.5,Napoli,13500,Stadio Marc'Antonio Bentegodi,Federico La Penna
32,Sun,4/14/19,Frosinone,0.7,1–3,3.1,Inter,15856,Stadio Benito Stirpe,Davide Massa
32,Mon,4/15/19,Atalanta,4.8,0–0,0.4,Empoli,19229,Stadio Atleti Azzurri d'Italia,Gianluca Manganiello
,,,,,,,,,,
25,Wed,4/17/19,Lazio,1.6,2–0,1.4,Udinese,30162,Stadio Olimpico,Giampaolo Calvarese
,,,,,,,,,,
33,Sat,4/20/19,Parma,0.8,1–1,0.6,Milan,20018,Stadio Ennio Tardini,Paolo Valeri
33,Sat,4/20/19,Genoa,1,0–1,1,Torino,8000,Stadio Comunale Luigi Ferraris,Daniele Doveri
33,Sat,4/20/19,Bologna,1,3–0,0.6,Sampdoria,21391,Stadio Renato Dall'Ara,Maurizio Mariani
33,Sat,4/20/19,Empoli,1.7,2–4,1.6,SPAL,10444,Stadio Carlo Castellani,Gianluca Rocchi
33,Sat,4/20/19,Cagliari,1.5,1–0,0.9,Frosinone,16095,Sardegna Arena,Rosario Abisso
33,Sat,4/20/19,Udinese,0.7,1–1,0.7,Sassuolo,21000,Dacia Arena,Luca Pairetto
33,Sat,4/20/19,Lazio,1.6,1–2,0.9,Chievo,25000,Stadio Olimpico,Daniele Chiffi
33,Sat,4/20/19,Juventus,1.4,2–1,1.7,Fiorentina,40339,Allianz Stadium,Fabrizio Pasqua
33,Sat,4/20/19,Inter,1.8,1–1,0.8,Roma,60013,Stadio Giuseppe Meazza,Marco Guida
33,Mon,4/22/19,Napoli,1.8,1–2,1.1,Atalanta,19604,Stadio San Paolo,Daniele Orsato
,,,,,,,,,,
34,Sat,4/27/19,Bologna,2.1,3–1,0.5,Empoli,25189,Stadio Renato Dall'Ara,Paolo Valeri
34,Sat,4/27/19,Roma,2.4,3–0,0.5,Cagliari,35964,Stadio Olimpico,Gianluca Manganiello
34,Sat,4/27/19,Inter,1.2,1–1,0.4,Juventus,73855,Stadio Giuseppe Meazza,Luca Banti
34,Sun,4/28/19,Frosinone,1.4,0–2,1.7,Napoli,13600,Stadio Benito Stirpe,Federico La Penna
34,Sun,4/28/19,Chievo,0.8,1–1,0.4,Parma,7000,Stadio Marc'Antonio Bentegodi,Juan Sacchi
34,Sun,4/28/19,SPAL,0.8,1–1,1.1,Genoa,13563,Stadio Paolo Mazza,Davide Massa
34,Sun,4/28/19,Sampdoria,1.2,1–2,1.3,Lazio,18450,Stadio Comunale Luigi Ferraris,Fabio Maresca
34,Sun,4/28/19,Torino,1.3,2–0,0.6,Milan,26849,Stadio Olimpico di Torino,Marco Guida
34,Mon,4/29/19,Atalanta,2.1,2–0,0.2,Udinese,18663,Stadio Atleti Azzurri d'Italia,Piero Giacomelli
34,Mon,4/29/19,Fiorentina,1.2,0–1,1.4,Sassuolo,25567,Stadio Artemio Franchi,Francesco Fourneau
,,,,,,,,,,
35,Fri,5/3/19,Juventus,1.1,1–1,0.6,Torino,38530,Allianz Stadium,Daniele Orsato
35,Sat,5/4/19,Chievo,0.3,0–4,1.7,SPAL,10000,Stadio Marc'Antonio Bentegodi,Riccardo Ros
35,Sat,5/4/19,Udinese,0.4,0–0,1.7,Inter,24741,Dacia Arena,Gianluca Rocchi
35,Sun,5/5/19,Empoli,1,1–0,2.1,Fiorentina,8285,Stadio Carlo Castellani,Massimiliano Irrati
35,Sun,5/5/19,Lazio,0.6,1–3,1.4,Atalanta,25000,Stadio Olimpico,Giampaolo Calvarese
35,Sun,5/5/19,Parma,2.3,3–3,2.3,Sampdoria,16992,Stadio Ennio Tardini,Michael Fabbri
35,Sun,5/5/19,Sassuolo,2.1,2–2,0.9,Frosinone,10073,Stadio Città del Tricolore,Antonio Giua
35,Sun,5/5/19,Genoa,2,1–1,0.9,Roma,20703,Stadio Comunale Luigi Ferraris,Paolo Mazzoleni
35,Sun,5/5/19,Napoli,1.9,2–1,0.5,Cagliari,16171,Stadio San Paolo,Daniele Chiffi
35,Mon,5/6/19,Milan,1.1,2–1,1,Bologna,51472,Stadio Giuseppe Meazza,Marco Di Bello
,,,,,,,,,,
36,Sat,5/11/19,Atalanta,1.3,2–1,1.7,Genoa,12000,Stadio Atleti Azzurri d'Italia,Massimiliano Irrati
36,Sat,5/11/19,Cagliari,1,1–2,0.7,Lazio,16179,Sardegna Arena,Michael Fabbri
36,Sat,5/11/19,Fiorentina,0.6,0–1,0.6,Milan,33250,Stadio Artemio Franchi,Maurizio Mariani
36,Sun,5/12/19,Torino,3.4,3–2,0.6,Sassuolo,25360,Stadio Olimpico di Torino,Piero Giacomelli
36,Sun,5/12/19,Sampdoria,1.9,1–2,2.1,Empoli,19034,Stadio Comunale Luigi Ferraris,Daniele Doveri
36,Sun,5/12/19,Frosinone,2,1–3,2.1,Udinese,12261,Stadio Benito Stirpe,Fabrizio Pasqua
36,Sun,5/12/19,SPAL,1.8,1–2,1.4,Napoli,14175,Stadio Paolo Mazza,Eugenio Abbattista
36,Sun,5/12/19,Roma,1.8,2–0,0.6,Juventus,50825,Stadio Olimpico,Davide Massa
36,Mon,5/13/19,Bologna,1.6,4–1,0.6,Parma,20656,Stadio Renato Dall'Ara,Luca Pairetto
36,Mon,5/13/19,Inter,1.8,2–0,0.2,Chievo,57855,Stadio Giuseppe Meazza,Paolo Valeri
,,,,,,,,,,
37,Sat,5/18/19,Udinese,1,3–2,1,SPAL,24614,Dacia Arena,Michael Fabbri
37,Sat,5/18/19,Genoa,2.1,1–1,0.6,Cagliari,22768,Stadio Comunale Luigi Ferraris,Paolo Valeri
37,Sat,5/18/19,Sassuolo,1,0–0,1.9,Roma,12914,Stadio Città del Tricolore,Fabio Maresca
37,Sun,5/19/19,Chievo,0.9,0–0,0.8,Sampdoria,10000,Stadio Marc'Antonio Bentegodi,Gianluca Aureliano
37,Sun,5/19/19,Empoli,2,4–1,1.6,Torino,10344,Stadio Carlo Castellani,Paolo Mazzoleni
37,Sun,5/19/19,Parma,0.4,1–0,1.2,Fiorentina,17333,Stadio Ennio Tardini,Piero Giacomelli
37,Sun,5/19/19,Milan,1.5,2–0,1.5,Frosinone,61765,Stadio Giuseppe Meazza,Gianluca Manganiello
37,Sun,5/19/19,Juventus,0.9,1–1,1.9,Atalanta,39531,Allianz Stadium,Gianluca Rocchi
37,Sun,5/19/19,Napoli,1.6,4–1,2.4,Inter,25445,Stadio San Paolo,Daniele Doveri
37,Mon,5/20/19,Lazio,1.5,3–3,2.4,Bologna,25000,Stadio Olimpico,Fabrizio Pasqua
,,,,,,,,,,
38,Sat,5/25/19,Frosinone,0.9,0–0,0,Chievo,12167,Stadio Benito Stirpe,Antonio Di Martino
38,Sat,5/25/19,Bologna,1.1,3–2,1.9,Napoli,19351,Stadio Renato Dall'Ara,Aleandro Di Paolo
38,Sun,5/26/19,Torino,2.3,3–1,1,Lazio,24428,Stadio Olimpico di Torino,Rosario Abisso
38,Sun,5/26/19,Sampdoria,0.6,2–0,0.5,Juventus,22856,Stadio Comunale Luigi Ferraris,Luigi Nasca
38,Sun,5/26/19,SPAL,0.7,2–3,1.7,Milan,16146,Stadio Paolo Mazza,Paolo Valeri
38,Sun,5/26/19,Fiorentina,0.4,0–0,0.1,Genoa,37527,Stadio Artemio Franchi,Daniele Orsato
38,Sun,5/26/19,Inter,2.8,2–1,2.1,Empoli,68051,Stadio Giuseppe Meazza,Luca Banti
38,Sun,5/26/19,Cagliari,1.8,1–2,0.8,Udinese,15378,Sardegna Arena,Manuel Volpi
38,Sun,5/26/19,Roma,2.3,2–1,1.2,Parma,62304,Stadio Olimpico,Paolo Mazzoleni
38,Sun,5/26/19,Atalanta,2.2,3–1,0.4,Sassuolo,14376,Stadio Atleti Azzurri d'Italia,Daniele Doveri
