Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
18,Sun,1/6/19,18:30 (12:30),Real Madrid,2.4,0–2,2,Real Sociedad,53412,Estadio Santiago Bernabéu,José Luis Munuera,Match Report,
18,Sun,1/6/19,20:45 (14:45),Getafe,1.5,1–2,2.3,Barcelona,14721,Coliseum Alfonso Pérez,Guillermo Cuadra,Match Report,
18,Mon,1/7/19,21:00 (15:00),Celta Vigo,1.1,1–2,1.5,Athletic Bilbao,13266,Estadio de Balaídos,Juan Martínez,Match Report,
,,,,,,,,,,,,,
19,Fri,1/11/19,21:00 (15:00),Rayo Vallecano,1.7,4–2,1.2,Celta Vigo,11465,Estadio del Rayo Vallecano,Alberola Rojas,Match Report,
19,Sat,1/12/19,13:00 (07:00),Leganés,1.7,1–0,0.5,Huesca,10341,Estadio Municipal de Butarque,Mario Melero,Match Report,
19,Sat,1/12/19,16:15 (10:15),Valencia,2.2,1–1,0.1,Valladolid,36912,Estadio de Mestalla,Ignacio Iglesias,Match Report,
19,Sat,1/12/19,18:30 (12:30),Girona,0.4,1–1,0.9,Alavés,10303,Estadi Municipal de Montilivi,José Sánchez,Match Report,
19,Sat,1/12/19,20:45 (14:45),Villarreal,1.8,1–2,0.9,Getafe,13671,Estadio de la Cerámica,Javier Estrada,Match Report,
19,Sun,1/13/19,12:00 (06:00),Atlético Madrid,2.3,1–0,0.6,Levante,57093,Estadio Wanda Metropolitano,Eduardo Prieto,Match Report,
19,Sun,1/13/19,16:15 (10:15),Athletic Bilbao,1,2–0,0.8,Sevilla,41342,San Mamés,Pablo González,Match Report,
19,Sun,1/13/19,18:30 (12:30),Barcelona,1.6,3–0,0.9,Eibar,71039,Camp Nou,Jesús Gil,Match Report,
19,Sun,1/13/19,20:45 (14:45),Betis,0.7,1–2,0.8,Real Madrid,54187,Estadio Benito Villamarín,Alejandro Hernández,Match Report,
19,Mon,1/14/19,21:00 (15:00),Real Sociedad,2.1,3–2,1.8,Espanyol,17301,Estadio Municipal de Anoeta,Carlos del Cerro,Match Report,
,,,,,,,,,,,,,
20,Fri,1/18/19,21:00 (15:00),Getafe,2.1,4–0,0.3,Alavés,8748,Coliseum Alfonso Pérez,José Luis Munuera,Match Report,
20,Sat,1/19/19,16:15 (10:15),Real Madrid,1.2,2–0,0.3,Sevilla,68232,Estadio Santiago Bernabéu,Antonio Matéu Lahoz,Match Report,
20,Sat,1/19/19,18:30 (12:30),Huesca,1.1,0–3,1.7,Atlético Madrid,7106,Estadio El Alcoraz,Guillermo Cuadra,Match Report,
20,Sat,1/19/19,20:45 (14:45),Celta Vigo,0.7,1–2,1.4,Valencia,15668,Estadio de Balaídos,José González,Match Report,
20,Sun,1/20/19,12:00 (06:00),Betis,1.6,3–2,0.9,Girona,47218,Estadio Benito Villamarín,Adrián Cordero,Match Report,
20,Sun,1/20/19,16:15 (10:15),Villarreal,1,1–1,0.5,Athletic Bilbao,17054,Estadio de la Cerámica,Alberto Undiano,Match Report,
20,Sun,1/20/19,18:30 (12:30),Rayo Vallecano,0.9,2–2,1.5,Real Sociedad,12562,Estadio del Rayo Vallecano,David Medié,Match Report,
20,Sun,1/20/19,18:30 (12:30),Levante,1.2,2–0,1,Valladolid,19107,Estadio Ciudad de Valencia,Santiago Jaime,Match Report,
20,Sun,1/20/19,20:45 (14:45),Barcelona,1.7,3–1,0.6,Leganés,50670,Camp Nou,Ricardo de Burgos,Match Report,
20,Mon,1/21/19,21:00 (15:00),Eibar,1.8,3–0,0.8,Espanyol,3592,Estadio Municipal de Ipurúa,Juan Martínez,Match Report,
,,,,,,,,,,,,,
21,Sat,1/26/19,13:00 (07:00),Sevilla,4.5,5–0,0.7,Levante,34220,Estadio Ramón Sánchez Pizjuán,Alberola Rojas,Match Report,
21,Sat,1/26/19,16:15 (10:15),Atlético Madrid,1.2,2–0,0.2,Getafe,55709,Estadio Wanda Metropolitano,Ignacio Iglesias,Match Report,
21,Sat,1/26/19,18:30 (12:30),Leganés,0.8,2–2,0.3,Eibar,9341,Estadio Municipal de Butarque,Alejandro Hernández,Match Report,
21,Sat,1/26/19,20:45 (14:45),Valencia,1.8,3–0,0.8,Villarreal,37685,Estadio de Mestalla,Carlos del Cerro,Match Report,
21,Sun,1/27/19,12:00 (06:00),Valladolid,2.3,2–1,0.8,Celta Vigo,18416,Estadio Municipal José Zorrilla,José Sánchez,Match Report,
21,Sun,1/27/19,16:15 (10:15),Girona,1.3,0–2,2.2,Barcelona,14021,Estadi Municipal de Montilivi,Pablo González,Match Report,
21,Sun,1/27/19,18:30 (12:30),Real Sociedad,0.6,0–0,0.6,Huesca,21252,Estadio Municipal de Anoeta,Eduardo Prieto,Match Report,
21,Sun,1/27/19,18:30 (12:30),Athletic Bilbao,0.7,1–0,0.3,Betis,40282,San Mamés,Javier Estrada,Match Report,
21,Sun,1/27/19,20:45 (14:45),Espanyol,0.9,2–4,1.9,Real Madrid,21215,RCDE Stadium,Jesús Gil,Match Report,
21,Mon,1/28/19,21:00 (15:00),Alavés,1,0–1,0.8,Rayo Vallecano,13982,Estadio de Mendizorroza,Mario Melero,Match Report,
,,,,,,,,,,,,,
22,Fri,2/1/19,21:00 (15:00),Huesca,1.3,4–0,0.4,Valladolid,6052,Estadio El Alcoraz,José Luis Munuera,Match Report,
22,Sat,2/2/19,13:00 (07:00),Levante,0.7,0–0,0.3,Getafe,18437,Estadio Ciudad de Valencia,Adrián Cordero,Match Report,
22,Sat,2/2/19,16:15 (10:15),Real Sociedad,1.5,2–1,1.1,Athletic Bilbao,27073,Estadio Municipal de Anoeta,Antonio Matéu Lahoz,Match Report,
22,Sat,2/2/19,18:30 (12:30),Barcelona,1.8,2–2,2.8,Valencia,76789,Camp Nou,Alberto Undiano,Match Report,
22,Sat,2/2/19,20:45 (14:45),Celta Vigo,0.8,1–0,0.6,Sevilla,17503,Estadio de Balaídos,Ricardo de Burgos,Match Report,
22,Sun,2/3/19,12:00 (06:00),Villarreal,2.1,2–2,1.2,Espanyol,15476,Estadio de la Cerámica,Guillermo Cuadra,Match Report,
22,Sun,2/3/19,16:15 (10:15),Betis,1,1–0,0.8,Atlético Madrid,50864,Estadio Benito Villamarín,David Medié,Match Report,
22,Sun,2/3/19,18:30 (12:30),Eibar,1.8,3–0,0.3,Girona,4419,Estadio Municipal de Ipurúa,José González,Match Report,
22,Sun,2/3/19,20:45 (14:45),Real Madrid,2.4,3–0,0.4,Alavés,53132,Estadio Santiago Bernabéu,Santiago Jaime,Match Report,
22,Mon,2/4/19,21:00 (15:00),Rayo Vallecano,1.1,1–2,0.7,Leganés,11435,Estadio del Rayo Vallecano,Juan Martínez,Match Report,
,,,,,,,,,,,,,
23,Fri,2/8/19,21:00 (15:00),Valladolid,0.7,0–0,1,Villarreal,16842,Estadio Municipal José Zorrilla,Alejandro Hernández,Match Report,
23,Sat,2/9/19,13:00 (07:00),Getafe,3,3–1,0.7,Celta Vigo,9918,Coliseum Alfonso Pérez,Pablo González,Match Report,
23,Sat,2/9/19,16:15 (10:15),Atlético Madrid,0.9,1–3,1.6,Real Madrid,67752,Estadio Wanda Metropolitano,Javier Estrada,Match Report,
23,Sat,2/9/19,18:30 (12:30),Espanyol,2,2–1,0.7,Rayo Vallecano,22104,RCDE Stadium,Eduardo Prieto,Match Report,
23,Sat,2/9/19,20:45 (14:45),Girona,1,0–2,0.4,Huesca,10662,Estadi Municipal de Montilivi,Adrián Cordero,Match Report,
23,Sun,2/10/19,12:00 (06:00),Leganés,1.7,3–0,0.1,Betis,11381,Estadio Municipal de Butarque,Alberola Rojas,Match Report,
23,Sun,2/10/19,16:15 (10:15),Valencia,0.9,0–0,0.6,Real Sociedad,38885,Estadio de Mestalla,Mario Melero,Match Report,
23,Sun,2/10/19,18:30 (12:30),Sevilla,1.2,2–2,1,Eibar,36343,Estadio Ramón Sánchez Pizjuán,Ignacio Iglesias,Match Report,
23,Sun,2/10/19,20:45 (14:45),Athletic Bilbao,1.5,0–0,0.9,Barcelona,47557,San Mamés,Carlos del Cerro,Match Report,
23,Mon,2/11/19,21:00 (15:00),Alavés,1.5,2–0,0.3,Levante,13691,Estadio de Mendizorroza,Alberto Undiano,Match Report,
,,,,,,,,,,,,,
24,Fri,2/15/19,21:00 (15:00),Eibar,1.6,2–2,1.1,Getafe,4449,Estadio Municipal de Ipurúa,David Medié,Match Report,
24,Sat,2/16/19,13:00 (07:00),Celta Vigo,1.5,1–4,2.5,Levante,15479,Estadio de Balaídos,Santiago Jaime,Match Report,
24,Sat,2/16/19,16:15 (10:15),Rayo Vallecano,0.6,0–1,0.2,Atlético Madrid,13880,Estadio del Rayo Vallecano,Jesús Gil,Match Report,
24,Sat,2/16/19,18:30 (12:30),Real Sociedad,1.2,3–0,0.4,Leganés,22997,Estadio Municipal de Anoeta,José Luis Munuera,Match Report,
24,Sat,2/16/19,20:45 (14:45),Barcelona,3.6,1–0,0.4,Valladolid,67435,Camp Nou,Juan Martínez,Match Report,
24,Sun,2/17/19,12:00 (06:00),Real Madrid,1.3,1–2,2.1,Girona,68099,Estadio Santiago Bernabéu,Guillermo Cuadra,Match Report,
24,Sun,2/17/19,16:15 (10:15),Valencia,1.6,0–0,0.4,Espanyol,39564,Estadio de Mestalla,Ricardo de Burgos,Match Report,
24,Sun,2/17/19,18:30 (12:30),Villarreal,1.5,3–0,1.5,Sevilla,17402,Estadio de la Cerámica,José González,Match Report,
24,Sun,2/17/19,20:45 (14:45),Betis,2.5,1–1,0.6,Alavés,43455,Estadio Benito Villamarín,Antonio Matéu Lahoz,Match Report,
24,Mon,2/18/19,21:00 (15:00),Huesca,1,0–1,1.3,Athletic Bilbao,6729,Estadio El Alcoraz,José Sánchez,Match Report,
,,,,,,,,,,,,,
25,Fri,2/22/19,21:00 (15:00),Espanyol,0.6,1–1,0.9,Huesca,20078,RCDE Stadium,Alejandro Hernández,Match Report,
25,Sat,2/23/19,13:00 (07:00),Getafe,1.4,2–1,0.3,Rayo Vallecano,11207,Coliseum Alfonso Pérez,Alberola Rojas,Match Report,
25,Sat,2/23/19,16:15 (10:15),Sevilla,1.2,2–4,1.7,Barcelona,40661,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,Match Report,
25,Sat,2/23/19,18:30 (12:30),Alavés,1.3,0–0,0.6,Celta Vigo,18882,Estadio de Mendizorroza,Carlos del Cerro,Match Report,
25,Sat,2/23/19,20:45 (14:45),Athletic Bilbao,1.4,1–0,0.8,Eibar,43363,San Mamés,Mario Melero,Match Report,
25,Sun,2/24/19,12:00 (06:00),Leganés,1.5,1–1,0.6,Valencia,11425,Estadio Municipal de Butarque,Javier Estrada,Match Report,
25,Sun,2/24/19,16:15 (10:15),Atlético Madrid,1.3,2–0,0.8,Villarreal,59114,Estadio Wanda Metropolitano,Alberto Undiano,Match Report,
25,Sun,2/24/19,18:30 (12:30),Valladolid,0.6,0–2,0.7,Betis,20125,Estadio Municipal José Zorrilla,Pablo González,Match Report,
25,Sun,2/24/19,20:45 (14:45),Levante,1.5,1–2,2.5,Real Madrid,23018,Estadio Ciudad de Valencia,Ignacio Iglesias,Match Report,
25,Mon,2/25/19,21:00 (15:00),Girona,0.7,0–0,0.7,Real Sociedad,10170,Estadi Municipal de Montilivi,Eduardo Prieto,Match Report,
,,,,,,,,,,,,,
26,Fri,3/1/19,21:00 (15:00),Rayo Vallecano,0.8,0–2,1.2,Girona,12087,Estadio del Rayo Vallecano,Santiago Jaime,Match Report,
26,Sat,3/2/19,13:00 (07:00),Espanyol,2.9,3–1,1.6,Valladolid,20467,RCDE Stadium,Adrián Cordero,Match Report,
26,Sat,3/2/19,16:15 (10:15),Villarreal,1.3,1–2,1.3,Alavés,15488,Estadio de la Cerámica,José Luis Munuera,Match Report,
26,Sat,3/2/19,18:30 (12:30),Huesca,0.5,2–1,2,Sevilla,6818,Estadio El Alcoraz,Ricardo de Burgos,Match Report,
26,Sat,3/2/19,20:45 (14:45),Real Madrid,1.1,0–1,1.5,Barcelona,78921,Estadio Santiago Bernabéu,Alberto Undiano,Match Report,
26,Sun,3/3/19,12:00 (06:00),Eibar,2.2,1–0,1,Celta Vigo,4682,Estadio Municipal de Ipurúa,Guillermo Cuadra,Match Report,
26,Sun,3/3/19,16:15 (10:15),Betis,0.6,1–2,1.4,Getafe,46657,Estadio Benito Villamarín,Juan Martínez,Match Report,
26,Sun,3/3/19,18:30 (12:30),Real Sociedad,0.9,0–2,2.1,Atlético Madrid,26004,Estadio Municipal de Anoeta,José González,Match Report,
26,Sun,3/3/19,20:45 (14:45),Valencia,1.2,2–0,0.3,Athletic Bilbao,39041,Estadio de Mestalla,David Medié,Match Report,
26,Mon,3/4/19,21:00 (15:00),Leganés,1.3,1–0,1.4,Levante,9758,Estadio Municipal de Butarque,Jesús Gil,Match Report,
,,,,,,,,,,,,,
27,Fri,3/8/19,21:00 (15:00),Athletic Bilbao,0.7,1–1,0.4,Espanyol,38453,San Mamés,Pablo González,Match Report,
27,Sat,3/9/19,13:00 (07:00),Alavés,1.8,1–1,1.9,Eibar,18793,Estadio de Mendizorroza,Alberola Rojas,Match Report,
27,Sat,3/9/19,16:15 (10:15),Atlético Madrid,1.3,1–0,0.1,Leganés,58321,Estadio Wanda Metropolitano,Antonio Matéu Lahoz,Match Report,
27,Sat,3/9/19,18:30 (12:30),Barcelona,2.7,3–1,0.3,Rayo Vallecano,74158,Camp Nou,Mario Melero,Match Report,
27,Sat,3/9/19,20:45 (14:45),Getafe,1.6,2–1,0.8,Huesca,10882,Coliseum Alfonso Pérez,Eduardo Prieto,Match Report,
27,Sun,3/10/19,12:00 (07:00),Celta Vigo,0.4,0–1,1.2,Betis,18005,Estadio de Balaídos,Javier Estrada,Match Report,
27,Sun,3/10/19,16:15 (11:15),Girona,1.9,2–3,0.9,Valencia,11502,Estadi Municipal de Montilivi,Carlos del Cerro,Match Report,
27,Sun,3/10/19,18:30 (13:30),Sevilla,2.2,5–2,1.1,Real Sociedad,35813,Estadio Ramón Sánchez Pizjuán,Ignacio Iglesias,Match Report,
27,Sun,3/10/19,18:30 (13:30),Levante,1,0–2,0.8,Villarreal,20149,Estadio Ciudad de Valencia,José Sánchez,Match Report,
27,Sun,3/10/19,20:45 (15:45),Valladolid,2.2,1–4,2.8,Real Madrid,21914,Estadio Municipal José Zorrilla,Jesús Gil,Match Report,
,,,,,,,,,,,,,
28,Fri,3/15/19,21:00 (16:00),Real Sociedad,2,1–1,0.7,Levante,20605,Estadio Municipal de Anoeta,Adrián Cordero,Match Report,
28,Sat,3/16/19,13:00 (08:00),Huesca,1.4,1–3,2,Alavés,6811,Estadio El Alcoraz,Alberto Undiano,Match Report,
28,Sat,3/16/19,16:15 (11:15),Real Madrid,2.3,2–0,0.4,Celta Vigo,65054,Estadio Santiago Bernabéu,Juan Martínez,Match Report,
28,Sat,3/16/19,18:30 (13:30),Athletic Bilbao,1.1,2–0,0.5,Atlético Madrid,39659,San Mamés,Santiago Jaime,Match Report,
28,Sat,3/16/19,20:45 (15:45),Leganés,0.5,0–2,1.3,Girona,9873,Estadio Municipal de Butarque,José Luis Munuera,Match Report,
28,Sun,3/17/19,12:00 (07:00),Eibar,1.4,1–2,1.9,Valladolid,4508,Estadio Municipal de Ipurúa,David Medié,Match Report,
28,Sun,3/17/19,16:15 (11:15),Espanyol,0.7,0–1,1.2,Sevilla,20219,RCDE Stadium,Guillermo Cuadra,Match Report,
28,Sun,3/17/19,18:30 (13:30),Villarreal,2.4,3–1,0.2,Rayo Vallecano,17117,Estadio de la Cerámica,José González,Match Report,
28,Sun,3/17/19,18:30 (13:30),Valencia,0.5,0–0,0.3,Getafe,41778,Estadio de Mestalla,José Sánchez,Match Report,
28,Sun,3/17/19,20:45 (15:45),Betis,1,1–4,3,Barcelona,54172,Estadio Benito Villamarín,Ricardo de Burgos,Match Report,
,,,,,,,,,,,,,
29,Fri,3/29/19,21:00 (16:00),Girona,0.3,1–2,0.6,Athletic Bilbao,10652,Estadi Municipal de Montilivi,José Sánchez,Match Report,
29,Sat,3/30/19,13:00 (08:00),Getafe,0.6,0–2,1.1,Leganés,12705,Coliseum Alfonso Pérez,Pablo González,Match Report,
29,Sat,3/30/19,16:15 (11:15),Barcelona,1.1,2–0,0.2,Espanyol,92795,Camp Nou,Carlos del Cerro,Match Report,
29,Sat,3/30/19,18:30 (13:30),Celta Vigo,1.5,3–2,2.1,Villarreal,22315,Estadio de Balaídos,Jesús Gil,Match Report,
29,Sat,3/30/19,20:45 (15:45),Alavés,0.8,0–4,1.5,Atlético Madrid,19117,Estadio de Mendizorroza,Mario Melero,Match Report,
29,Sun,3/31/19,12:00 (06:00),Levante,0.7,2–2,1.9,Eibar,16179,Estadio Ciudad de Valencia,Eduardo Prieto,Match Report,
29,Sun,3/31/19,14:00 (08:00),Rayo Vallecano,2,1–1,0.6,Betis,12310,Estadio del Rayo Vallecano,Antonio Matéu Lahoz,Match Report,
29,Sun,3/31/19,16:15 (10:15),Sevilla,1,0–1,0.9,Valencia,38450,Estadio Ramón Sánchez Pizjuán,José González,Match Report,
29,Sun,3/31/19,18:30 (12:30),Valladolid,1.2,1–1,0.5,Real Sociedad,18775,Estadio Municipal José Zorrilla,Alberola Rojas,Match Report,
29,Sun,3/31/19,20:45 (14:45),Real Madrid,3.7,3–2,1.5,Huesca,49269,Estadio Santiago Bernabéu,Javier Estrada,Match Report,
,,,,,,,,,,,,,
30,Tue,4/2/19,19:30 (13:30),Atlético Madrid,2.5,2–0,0.3,Girona,40863,Estadio Wanda Metropolitano,Ignacio Iglesias,Match Report,
30,Tue,4/2/19,20:30 (14:30),Espanyol,1.5,1–1,1.1,Getafe,16322,RCDE Stadium,Ricardo de Burgos,Match Report,
30,Tue,4/2/19,21:30 (15:30),Villarreal,2.7,4–4,2.4,Barcelona,19515,Estadio de la Cerámica,Alejandro Hernández,Match Report,
30,Wed,4/3/19,19:30 (13:30),Athletic Bilbao,1.5,3–2,1.2,Levante,36450,San Mamés,José Luis Munuera,Match Report,
30,Wed,4/3/19,20:30 (14:30),Eibar,1.3,2–1,0.8,Rayo Vallecano,3940,Estadio Municipal de Ipurúa,Alberto Undiano,Match Report,
30,Wed,4/3/19,20:30 (14:30),Huesca,2.6,3–3,1.4,Celta Vigo,6552,Estadio El Alcoraz,Adrián Cordero,Match Report,
30,Wed,4/3/19,21:30 (15:30),Valencia,1.2,2–1,0.7,Real Madrid,44274,Estadio de Mestalla,Santiago Jaime,Match Report,
30,Thu,4/4/19,19:30 (13:30),Sevilla,1.5,2–0,0.4,Alavés,33212,Estadio Ramón Sánchez Pizjuán,Juan Martínez,Match Report,
30,Thu,4/4/19,20:30 (14:30),Leganés,1.7,1–0,0.9,Valladolid,10185,Estadio Municipal de Butarque,Guillermo Cuadra,Match Report,
30,Thu,4/4/19,21:30 (15:30),Real Sociedad,2.1,2–1,1.1,Betis,16417,Estadio Municipal de Anoeta,David Medié,Match Report,
,,,,,,,,,,,,,
31,Sat,4/6/19,13:00 (07:00),Girona,1.7,1–2,0.4,Espanyol,11463,Estadi Municipal de Montilivi,Eduardo Prieto,Match Report,
31,Sat,4/6/19,16:15 (10:15),Real Madrid,1.4,2–1,0.5,Eibar,50284,Estadio Santiago Bernabéu,Pablo González,Match Report,
31,Sat,4/6/19,18:30 (12:30),Rayo Vallecano,1.8,2–0,2.2,Valencia,11320,Estadio del Rayo Vallecano,Alberola Rojas,Match Report,
31,Sat,4/6/19,20:45 (14:45),Barcelona,2.2,2–0,0.5,Atlético Madrid,92453,Camp Nou,Jesús Gil,Match Report,
31,Sun,4/7/19,12:00 (06:00),Alavés,1,1–1,0.7,Leganés,16783,Estadio de Mendizorroza,Antonio Matéu Lahoz,Match Report,
31,Sun,4/7/19,14:00 (08:00),Getafe,0.8,1–0,0.6,Athletic Bilbao,11617,Coliseum Alfonso Pérez,José González,Match Report,
31,Sun,4/7/19,16:15 (10:15),Valladolid,0.8,0–2,1.6,Sevilla,17989,Estadio Municipal José Zorrilla,José Sánchez,Match Report,
31,Sun,4/7/19,18:30 (12:30),Levante,2.6,2–2,1,Huesca,19824,Estadio Ciudad de Valencia,Carlos del Cerro,Match Report,
31,Sun,4/7/19,18:30 (12:30),Celta Vigo,2.7,3–1,1.3,Real Sociedad,20519,Estadio de Balaídos,Mario Melero,Match Report,
31,Sun,4/7/19,20:45 (14:45),Betis,2.5,2–1,1.4,Villarreal,28475,Estadio Benito Villamarín,Javier Estrada,Match Report,
,,,,,,,,,,,,,
32,Sat,4/13/19,13:00 (07:00),Espanyol,0.4,2–1,0.9,Alavés,18143,RCDE Stadium,Ignacio Iglesias,Match Report,
32,Sat,4/13/19,16:15 (10:15),Huesca,0.3,0–0,1,Barcelona,7332,Estadio El Alcoraz,Guillermo Cuadra,Match Report,
32,Sat,4/13/19,18:30 (12:30),Atlético Madrid,1.3,2–0,0.7,Celta Vigo,55269,Estadio Wanda Metropolitano,Ricardo de Burgos,Match Report,
32,Sat,4/13/19,20:45 (14:45),Sevilla,1.7,3–2,1.1,Betis,42855,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández,Match Report,
32,Sun,4/14/19,12:00 (06:00),Valladolid,1.2,2–2,1.2,Getafe,16909,Estadio Municipal José Zorrilla,José Luis Munuera,Match Report,
32,Sun,4/14/19,14:00 (08:00),Athletic Bilbao,2.2,3–2,0.9,Rayo Vallecano,38732,San Mamés,Juan Martínez,Match Report,
32,Sun,4/14/19,16:15 (10:15),Real Sociedad,0.7,1–1,1.1,Eibar,24308,Estadio Municipal de Anoeta,Santiago Jaime,Match Report,
32,Sun,4/14/19,18:30 (12:30),Girona,0.7,0–1,1.3,Villarreal,11535,Estadi Municipal de Montilivi,Adrián Cordero,Match Report,
32,Sun,4/14/19,20:45 (14:45),Valencia,2.6,3–1,0.2,Levante,42120,Estadio de Mestalla,Alberto Undiano,Match Report,
32,Mon,4/15/19,21:00 (15:00),Leganés,0.4,1–1,1.1,Real Madrid,12118,Estadio Municipal de Butarque,David Medié,Match Report,
,,,,,,,,,,,,,
33,Fri,4/19/19,21:00 (15:00),Alavés,1.5,2–2,1.4,Valladolid,13568,Estadio de Mendizorroza,Javier Estrada,Match Report,
33,Sat,4/20/19,13:00 (07:00),Celta Vigo,1.2,2–1,0.6,Girona,20546,Estadio de Balaídos,Carlos del Cerro,Match Report,
33,Sat,4/20/19,16:15 (10:15),Eibar,0.5,0–1,1.4,Atlético Madrid,4750,Estadio Municipal de Ipurúa,Alberola Rojas,Match Report,
33,Sat,4/20/19,18:30 (12:30),Rayo Vallecano,1.1,0–0,0.5,Huesca,10542,Estadio del Rayo Vallecano,José González,Match Report,
33,Sat,4/20/19,20:45 (14:45),Barcelona,1.1,2–1,1,Real Sociedad,75470,Camp Nou,Pablo González,Match Report,
33,Sun,4/21/19,12:00 (06:00),Levante,1.8,2–2,1.3,Espanyol,16876,Estadio Ciudad de Valencia,Jesús Gil,Match Report,
33,Sun,4/21/19,14:00 (08:00),Getafe,2.4,3–0,0.5,Sevilla,11495,Coliseum Alfonso Pérez,Antonio Matéu Lahoz,Match Report,
33,Sun,4/21/19,16:15 (10:15),Real Madrid,1.3,3–0,0.4,Athletic Bilbao,59815,Estadio Santiago Bernabéu,Mario Melero,Match Report,
33,Sun,4/21/19,18:30 (12:30),Villarreal,1.2,2–1,1.1,Leganés,14753,Estadio de la Cerámica,Eduardo Prieto,Match Report,
33,Sun,4/21/19,20:45 (14:45),Betis,1.8,1–2,0.4,Valencia,42508,Estadio Benito Villamarín,José Sánchez,Match Report,
,,,,,,,,,,,,,
34,Tue,4/23/19,19:30 (13:30),Huesca,1.3,2–0,0.6,Eibar,6157,Estadio El Alcoraz,David Medié,Match Report,
34,Tue,4/23/19,20:30 (14:30),Valladolid,0.8,1–0,0.4,Girona,19106,Estadio Municipal José Zorrilla,Juan Martínez,Match Report,
34,Tue,4/23/19,21:30 (15:30),Alavés,0.3,0–2,2.6,Barcelona,18735,Estadio de Mendizorroza,Adrián Cordero,Match Report,
34,Wed,4/24/19,19:30 (13:30),Atlético Madrid,1.2,3–2,1.6,Valencia,43531,Estadio Wanda Metropolitano,Alejandro Hernández,Match Report,
34,Wed,4/24/19,20:30 (14:30),Espanyol,1.5,1–1,2.3,Celta Vigo,15680,RCDE Stadium,Alberto Undiano,Match Report,
34,Wed,4/24/19,20:30 (14:30),Leganés,0.4,0–1,0.4,Athletic Bilbao,4155,Estadio Municipal de Butarque,Ignacio Iglesias,Match Report,
34,Wed,4/24/19,21:30 (15:30),Levante,1.5,4–0,0.2,Betis,20394,Estadio Ciudad de Valencia,Santiago Jaime,Match Report,
34,Thu,4/25/19,19:30 (13:30),Sevilla,3.5,5–0,0.6,Rayo Vallecano,31636,Estadio Ramón Sánchez Pizjuán,Guillermo Cuadra,Match Report,
34,Thu,4/25/19,20:30 (14:30),Real Sociedad,0.8,0–1,0.7,Villarreal,20060,Estadio Municipal de Anoeta,José Luis Munuera,Match Report,
34,Thu,4/25/19,21:30 (15:30),Getafe,0.6,0–0,1.4,Real Madrid,13135,Coliseum Alfonso Pérez,Ricardo de Burgos,Match Report,
,,,,,,,,,,,,,
35,Sat,4/27/19,13:00 (07:00),Athletic Bilbao,1,1–1,1.6,Alavés,40402,San Mamés,Jesús Gil,Match Report,
35,Sat,4/27/19,16:15 (10:15),Atlético Madrid,0.8,1–0,0.7,Valladolid,53123,Estadio Wanda Metropolitano,Mario Melero,Match Report,
35,Sat,4/27/19,18:30 (12:30),Leganés,0.4,0–0,0.5,Celta Vigo,10324,Estadio Municipal de Butarque,Juan Martínez,Match Report,
35,Sat,4/27/19,20:45 (14:45),Barcelona,2,1–0,0.9,Levante,91917,Camp Nou,Ricardo de Burgos,Match Report,
35,Sun,4/28/19,12:00 (06:00),Valencia,0.5,0–1,1,Eibar,35393,Estadio de Mestalla,Javier Estrada,Match Report,
35,Sun,4/28/19,14:00 (08:00),Girona,1.6,1–0,0.5,Sevilla,11281,Estadi Municipal de Montilivi,José González,Match Report,
35,Sun,4/28/19,16:15 (10:15),Real Sociedad,2.1,2–1,0.8,Getafe,19386,Estadio Municipal de Anoeta,Eduardo Prieto,Match Report,
35,Sun,4/28/19,18:30 (12:30),Villarreal,0.8,1–1,1.7,Huesca,17901,Estadio de la Cerámica,José Sánchez,Match Report,
35,Sun,4/28/19,20:45 (14:45),Rayo Vallecano,1.4,1–0,0.5,Real Madrid,13273,Estadio del Rayo Vallecano,Pablo González,Match Report,
35,Mon,4/29/19,21:00 (15:00),Betis,1.3,1–1,1.2,Espanyol,30561,Estadio Benito Villamarín,Carlos del Cerro,Match Report,
,,,,,,,,,,,,,
36,Fri,5/3/19,21:00 (15:00),Sevilla,0.3,0–3,1.4,Leganés,32797,Estadio Ramón Sánchez Pizjuán,Alberto Undiano,Match Report,
36,Sat,5/4/19,13:00 (07:00),Levante,1.8,4–1,1.4,Rayo Vallecano,19868,Estadio Ciudad de Valencia,Javier Estrada,Match Report,
36,Sat,5/4/19,16:15 (10:15),Espanyol,1.3,3–0,1.1,Atlético Madrid,20207,RCDE Stadium,José Luis Munuera,Match Report,
36,Sat,5/4/19,18:30 (12:30),Alavés,0.8,0–1,0.7,Real Sociedad,18509,Estadio de Mendizorroza,Alberola Rojas,Match Report,
36,Sat,5/4/19,20:45 (14:45),Celta Vigo,1.9,2–0,0.5,Barcelona,22519,Estadio de Balaídos,José Sánchez,Match Report,
36,Sun,5/5/19,12:00 (06:00),Getafe,1.8,2–0,0.6,Girona,10615,Coliseum Alfonso Pérez,Alejandro Hernández,Match Report,
36,Sun,5/5/19,14:00 (08:00),Eibar,1.1,1–0,2.2,Betis,4725,Estadio Municipal de Ipurúa,Ignacio Iglesias,Match Report,
