Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
5,Sat,9/22/18,13:00 (07:00),Rayo Vallecano,1,1–5,0.8,Alavés,12011,Estadio del Rayo Vallecano,Adrián Cordero,Match Report,
5,Sat,9/22/18,16:15 (10:15),Eibar,1.1,1–0,0.4,Leganés,4456,Estadio Municipal de Ipurúa,Mario Melero,Match Report,
5,Sat,9/22/18,16:15 (10:15),Celta Vigo,1.3,3–3,2.1,Valladolid,16552,Estadio de Balaídos,Eduardo Prieto,Match Report,
5,Sat,9/22/18,18:30 (12:30),Getafe,0.7,0–2,0.9,Atlético Madrid,12756,Coliseum Alfonso Pérez,José Sánchez,Match Report,
5,Sat,9/22/18,20:45 (14:45),Real Madrid,1.2,1–0,0.7,Espanyol,67658,Estadio Santiago Bernabéu,Antonio Matéu Lahoz,Match Report,
5,Sun,9/23/18,12:00 (06:00),Levante,2.5,2–6,2.9,Sevilla,21520,Estadio Ciudad de Valencia,Guillermo Cuadra,Match Report,
5,Sun,9/23/18,16:15 (10:15),Villarreal,1,0–0,0.4,Valencia,18373,Estadio de la Cerámica,Santiago Jaime,Match Report,
5,Sun,9/23/18,20:00 (14:00),Betis,1.2,2–2,0.8,Athletic Bilbao,51093,Estadio Benito Villamarín,Javier Estrada,Match Report,
5,Sun,9/23/18,20:45 (14:45),Barcelona,1.5,2–2,1.1,Girona,76055,Camp Nou,Jesús Gil,Match Report,
,,,,,,,,,,,,,
6,Tue,9/25/18,20:00 (14:00),Espanyol,0.9,1–0,0.3,Eibar,13547,RCDE Stadium,José Luis Munuera,Match Report,
6,Tue,9/25/18,21:00 (15:00),Real Sociedad,1.7,2–2,1.6,Rayo Vallecano,21510,Estadio Municipal de Anoeta,Juan Martínez,Match Report,
6,Tue,9/25/18,22:00 (16:00),Atlético Madrid,1.2,3–0,1.2,Huesca,47023,Estadio Wanda Metropolitano,Pablo González,Match Report,
6,Wed,9/26/18,20:00 (14:00),Athletic Bilbao,0.8,0–3,2.8,Villarreal,39672,Estadio San Mamés,Carlos del Cerro,Match Report,
6,Wed,9/26/18,20:00 (14:00),Leganés,1.1,2–1,0.5,Barcelona,12231,Estadio Municipal de Butarque,Alberto Undiano,Match Report,
6,Wed,9/26/18,22:00 (16:00),Sevilla,2.5,3–0,1.3,Real Madrid,40972,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández,Match Report,
6,Wed,9/26/18,22:00 (16:00),Valencia,2.1,1–1,0.3,Celta Vigo,35945,Estadio de Mestalla,Ricardo de Burgos,Match Report,
6,Thu,9/27/18,20:00 (14:00),Alavés,1.7,1–1,1,Getafe,18373,Estadio de Mendizorroza,Eduardo Prieto,Match Report,
6,Thu,9/27/18,20:00 (14:00),Valladolid,1.2,2–1,0.5,Levante,16440,Estadio Municipal José Zorrilla,David Medié,Match Report,
6,Thu,9/27/18,22:00 (16:00),Girona,0.7,0–1,1.7,Betis,11358,Estadi Municipal de Montilivi,José González,Match Report,
,,,,,,,,,,,,,
7,Fri,9/28/18,21:00 (15:00),Rayo Vallecano,1.3,2–2,1.9,Espanyol,12100,Estadio del Rayo Vallecano,Alberola Rojas,Match Report,
7,Sat,9/29/18,13:00 (07:00),Real Sociedad,1.2,0–1,1.1,Valencia,23577,Estadio Municipal de Anoeta,Jesús Gil,Match Report,
7,Sat,9/29/18,16:15 (10:15),Barcelona,3.1,1–1,0.7,Athletic Bilbao,78015,Camp Nou,Santiago Jaime,Match Report,
7,Sat,9/29/18,18:30 (12:30),Eibar,1,1–3,1.6,Sevilla,5443,Estadio Municipal de Ipurúa,Javier Estrada,Match Report,
7,Sat,9/29/18,20:45 (14:45),Real Madrid,1.1,0–0,0.7,Atlético Madrid,78642,Estadio Santiago Bernabéu,Juan Martínez,Match Report,
7,Sun,9/30/18,12:00 (06:00),Huesca,1.4,1–1,1.4,Girona,6779,Estadio El Alcoraz,Adrián Cordero,Match Report,
7,Sun,9/30/18,16:15 (10:15),Villarreal,2.4,0–1,0.6,Valladolid,15602,Estadio de la Cerámica,Ignacio Iglesias,Match Report,
7,Sun,9/30/18,18:30 (12:30),Levante,1.6,2–1,0.8,Alavés,20239,Estadio Ciudad de Valencia,Mario Melero,Match Report,
7,Sun,9/30/18,20:45 (14:45),Betis,1.9,1–0,0.5,Leganés,48115,Estadio Benito Villamarín,José Sánchez,Match Report,
7,Mon,10/1/18,21:00 (15:00),Celta Vigo,0.4,1–1,1,Getafe,14330,Estadio de Balaídos,Guillermo Cuadra,Match Report,
,,,,,,,,,,,,,
8,Fri,10/5/18,21:00 (15:00),Athletic Bilbao,1.7,1–3,2,Real Sociedad,46884,San Mamés,Alejandro Hernández,Match Report,
8,Sat,10/6/18,13:00 (07:00),Girona,1.2,2–3,1.9,Eibar,10569,Estadi Municipal de Montilivi,Eduardo Prieto,Match Report,
8,Sat,10/6/18,16:15 (10:15),Getafe,1.2,0–1,1,Levante,9557,Coliseum Alfonso Pérez,José Luis Munuera,Match Report,
8,Sat,10/6/18,18:30 (12:30),Alavés,0.8,1–0,0.8,Real Madrid,19461,Estadio de Mendizorroza,Santiago Jaime,Match Report,
8,Sat,10/6/18,20:45 (14:45),Leganés,1,1–0,0.3,Rayo Vallecano,11539,Estadio Municipal de Butarque,David Medié,Match Report,
8,Sun,10/7/18,12:00 (06:00),Valladolid,1.1,1–0,0.5,Huesca,17300,Estadio Municipal José Zorrilla,Antonio Matéu Lahoz,Match Report,
8,Sun,10/7/18,16:15 (10:15),Atlético Madrid,0.7,1–0,0.4,Betis,63786,Estadio Wanda Metropolitano,Alberto Undiano,Match Report,
8,Sun,10/7/18,18:30 (12:30),Sevilla,2.6,2–1,0.8,Celta Vigo,38068,Estadio Ramón Sánchez Pizjuán,Pablo González,Match Report,
8,Sun,10/7/18,18:30 (12:30),Espanyol,3.8,3–1,1.7,Villarreal,20032,RCDE Stadium,Ricardo de Burgos,Match Report,
8,Sun,10/7/18,20:45 (14:45),Valencia,1.5,1–1,0.4,Barcelona,46249,Estadio de Mestalla,José González,Match Report,
,,,,,,,,,,,,,
9,Fri,10/19/18,21:00 (15:00),Celta Vigo,1,0–1,1,Alavés,15627,Estadio de Balaídos,Carlos del Cerro,Match Report,
9,Sat,10/20/18,13:00 (07:00),Real Madrid,3.5,1–2,2,Levante,63423,Estadio Santiago Bernabéu,Guillermo Cuadra,Match Report,
9,Sat,10/20/18,16:15 (10:15),Valencia,1.3,1–1,1,Leganés,35597,Estadio de Mestalla,Ignacio Iglesias,Match Report,
9,Sat,10/20/18,18:30 (12:30),Villarreal,1.3,1–1,1,Atlético Madrid,17518,Estadio de la Cerámica,Javier Estrada,Match Report,
9,Sat,10/20/18,20:45 (14:45),Barcelona,2.6,4–2,1.9,Sevilla,88712,Camp Nou,Juan Martínez,Match Report,
9,Sun,10/21/18,12:00 (06:00),Rayo Vallecano,0.4,1–2,0.5,Getafe,12040,Estadio del Rayo Vallecano,Mario Melero,Match Report,
9,Sun,10/21/18,16:15 (10:15),Eibar,1.7,1–1,0.9,Athletic Bilbao,6475,Estadio Municipal de Ipurúa,Jesús Gil,Match Report,
9,Sun,10/21/18,18:30 (12:30),Huesca,0.3,0–2,1.7,Espanyol,6943,Estadio El Alcoraz,Eduardo Prieto,Match Report,
9,Sun,10/21/18,20:45 (14:45),Betis,1.1,0–1,0.6,Valladolid,42581,Estadio Benito Villamarín,Alberola Rojas,Match Report,
9,Mon,10/22/18,21:00 (15:00),Real Sociedad,0.8,0–0,0.7,Girona,20997,Estadio Municipal de Anoeta,Pablo González,Match Report,
,,,,,,,,,,,,,
3,Wed,10/24/18,19:00 (13:00),Rayo Vallecano,0.9,1–1,1.1,Athletic Bilbao,11850,Estadio del Rayo Vallecano,Guillermo Cuadra,Match Report,
,,,,,,,,,,,,,
10,Fri,10/26/18,21:00 (15:00),Valladolid,1.7,1–1,0.5,Espanyol,18231,Estadio Municipal José Zorrilla,Adrián Cordero,Match Report,
10,Sat,10/27/18,13:00 (07:00),Girona,2.2,2–1,1.3,Rayo Vallecano,6618,Estadi Municipal de Montilivi,José Luis Munuera,Match Report,
10,Sat,10/27/18,16:15 (10:15),Athletic Bilbao,0.7,0–0,0.7,Valencia,39261,San Mamés,Alberto Undiano,Match Report,
10,Sat,10/27/18,18:30 (12:30),Levante,1.2,2–0,1,Leganés,19754,Estadio Ciudad de Valencia,Ricardo de Burgos,Match Report,
10,Sat,10/27/18,18:30 (12:30),Celta Vigo,1.5,4–0,2.1,Eibar,15509,Estadio de Balaídos,José González,Match Report,
10,Sat,10/27/18,20:45 (14:45),Atlético Madrid,1.5,2–0,0.3,Real Sociedad,57514,Estadio Wanda Metropolitano,Antonio Matéu Lahoz,Match Report,
10,Sun,10/28/18,12:00 (07:00),Getafe,1.8,2–0,0.6,Betis,12086,Coliseum Alfonso Pérez,Santiago Jaime,Match Report,
