,league,year,position,team,matches,wins,draws,loses,scored,missed,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff,Team,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,IBS,IBSOG,IBG,OBS,OBSOG,OBG,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
11,Bundesliga,2018,11,Hertha Berlin,34,11,10,13,49,57,43,50.520192,1.5201919999999944,47.48907999999999,61.58314800000001,4.5831480000000075,57.036979,-9.547898999999996,12.126609539600524,12.111640071398453,194,252,41.9502,-1.0497999999999976,Hertha Berlin,49,32,0,25,7,405,150,382,554,148,308,57,229,47,117,537,351,447,378,11517,14694,88,713,1991,302,1906,276,110,46,129,40,3,333,2,21320,660,4,4,0,0,39,9,146,133,149,15,4,2,57,9,107,77,33,8,6,6,1,764,764,7,1079,17,0,75,39,35,509
13,Bundesliga,2018,12,Mainz 05,34,12,7,15,46,57,43,49.21424500000001,3.2142450000000053,46.941165000000005,62.80341099999998,5.803410999999982,59.772790999999984,-12.831625999999998,14.183304967594413,10.580645158882351,211,244,39.3397,-3.6603,Mainz 05,46,30,0,27,3,497,151,397,646,152,363,56,290,43,124,528,308,430,362,10533,13666,99,668,2098,317,1862,287,106,41,212,47,5,393,0,20539,691,3,3,0,0,48,14,150,142,151,18,4,0,57,7,119,69,50,7,4,4,0,676,676,11,1127,16,1,83,43,27,556
12,Bundesliga,2018,13,Freiburg,34,8,12,14,46,61,36,41.225196000000004,-4.774804000000003,36.584205,61.42939199999999,0.4293919999999858,56.12494499999998,-19.54074,14.873624937246413,11.06321229552573,141,249,35.6689,-0.3310999999999993,Freiburg,47,25,0,20,5,435,166,374,546,140,303,41,238,40,125,585,363,425,426,10823,13858,90,593,1913,242,1815,239,112,39,198,56,8,303,0,20366,573,7,6,0,1,47,16,155,134,156,19,6,3,62,5,118,67,50,9,7,7,0,861,861,15,1136,10,0,52,37,23,456
14,Bundesliga,2018,14,Schalke 04,34,8,9,17,37,55,33,46.618307,9.618306999999994,39.79839799999999,51.93916300000001,-3.0608369999999923,47.39266300000001,-7.594264999999999,11.942048325079872,8.96341887316962,168,184,44.15759999999999,11.157599999999988,Schalke 04,37,22,0,17,5,432,135,430,540,161,321,49,220,76,120,656,395,458,412,10363,13519,61,622,2160,370,2039,269,98,30,163,37,7,386,1,20563,753,9,7,1,1,75,29,162,160,162,18,4,1,55,8,119,68,49,7,6,6,1,637,637,15,970,13,1,77,46,26,625
9,Bundesliga,2018,15,Augsburg,34,8,8,18,51,71,32,47.44357700000001,-3.5564229999999952,43.65493400000001,63.79156999999999,-7.208430000000009,62.17374,-18.518806,11.918817082532462,11.325131883623335,182,266,37.0815,5.081499999999998,Augsburg,51,33,0,25,8,462,167,486,612,153,337,46,256,48,136,603,382,464,358,10476,13989,96,686,2162,212,1829,288,112,43,175,56,8,352,2,20748,632,5,5,0,0,42,13,146,129,147,19,6,3,71,6,124,79,51,7,2,2,1,732,732,7,1037,10,3,85,39,26,410
15,Bundesliga,2018,16,VfB Stuttgart,34,7,7,20,32,70,28,37.3775347,5.377534699999997,36.6197567,62.69824799999999,-7.3017520000000085,60.424928,-23.805171299999994,14.468857258758288,10.838292902221317,153,260,31.9873,3.987300000000001,VfB Stuttgart,32,26,0,21,5,408,115,398,727,188,306,43,235,43,116,575,359,373,400,10270,13561,121,743,1970,237,1935,245,80,26,163,35,6,309,4,20343,610,1,1,0,0,51,16,170,156,171,16,4,0,70,6,113,78,36,14,3,3,0,840,840,16,981,11,6,67,37,20,395
16,Bundesliga,2018,17,Hannover 96,34,5,6,23,31,71,21,34.808797,3.8087969999999984,32.535470000000004,73.12036599999998,2.12036599999999,67.81601500000001,-35.28054500000001,18.07376549161944,9.462546960460609,157,309,25.2055,4.205499999999997,Hannover 96,31,20,0,18,2,384,121,459,521,119,283,37,217,44,124,584,343,422,422,10483,13642,75,632,2042,275,1896,231,83,27,154,39,4,388,1,20575,571,3,3,0,0,45,10,143,140,143,13,5,1,71,5,157,99,61,9,7,7,1,762,762,15,1029,9,0,58,32,17,528
17,Bundesliga,2018,18,Nuernberg,34,3,10,21,26,68,19,35.37174299999999,9.371742999999988,30.825158,54.801146,-13.198854000000004,51.77004600000001,-20.944887999999988,20.304274836579374,11.318299423630195,148,259,35.1158,16.1158,Nuernberg,26,16,0,11,5,360,104,354,495,111,243,23,179,48,119,551,350,393,387,9746,12827,51,647,1894,248,1801,193,69,22,168,36,4,293,2,19060,488,6,2,2,2,55,13,151,139,151,19,6,0,68,4,115,73,42,7,4,4,1,792,792,24,930,8,1,54,29,15,462
0,EPL,2018,1,Manchester City,38,32,2,4,95,23,98,93.720559,-1.2794409999999914,90.67588,25.732604100000003,2.7326041,22.687925100000005,67.98795489999998,8.526163727355268,30.46811259810453,582,135,90.6406,-7.359400000000008,Manchester City,95,72,0,65,7,683,260,362,784,154,517,101,400,44,63,520,328,328,305,23654,26582,84,546,2222,434,1795,449,198,80,238,66,15,393,0,33592,1588,4,3,1,0,43,12,298,207,302,21,9,2,23,20,58,39,21,16,4,4,0,543,543,6,1098,35,0,98,70,53,731
1,EPL,2018,2,Liverpool,38,30,7,1,89,22,97,79.45754000000002,-9.542459999999991,74.12935999999999,29.145105000000004,7.1451050000000045,28.38393600000001,45.74542399999999,10.959870865746092,22.161375690580364,431,152,83.45409999999998,-13.545900000000017,Liverpool,89,55,0,41,14,575,226,314,721,173,426,78,322,45,78,611,376,315,354,19964,23637,99,606,2375,352,1901,381,182,84,197,47,5,427,0,30897,1239,7,7,0,0,45,10,249,189,250,20,6,1,22,21,76,51,24,18,1,1,0,638,638,17,1166,38,2,77,54,54,612
5,EPL,2018,3,Chelsea,38,21,9,8,63,39,72,63.968004,0.9680040000000004,60.162158,38.10768700000001,-0.8923129999999944,36.447257,23.714901,10.650182661297576,15.995166726004904,376,188,71.45100000000001,-0.5490000000000066,Chelsea,63,52,0,43,9,607,198,353,692,133,493,80,389,41,73,619,365,339,429,21958,25073,80,532,2373,447,2013,379,140,54,230,60,9,457,0,32356,1102,5,5,0,0,37,6,215,179,215,30,8,0,39,16,85,48,40,8,2,2,1,592,592,11,1092,62,2,83,60,34,702
3,EPL,2018,4,Tottenham,38,23,2,13,67,39,71,61.746657000000006,-5.253342999999994,58.70202,49.14606800000002,10.146068000000014,45.34022,13.361800000000002,9.90848208787457,17.680093699619132,270,202,61.43999999999999,-9.56000000000001,Tottenham,67,47,0,38,9,537,189,326,643,166,393,64,299,46,112,630,374,376,368,17716,21298,112,610,2365,367,1960,327,137,53,211,53,14,350,3,28696,954,4,4,0,0,45,13,194,140,195,23,10,2,39,13,120,86,37,19,5,5,2,770,770,22,1106,25,3,74,52,35,670
2,EPL,2018,5,Arsenal,38,21,7,10,73,51,70,64.79537200000001,-8.204627999999985,60.98952099999999,57.2974875,6.297487500000003,51.969339500000004,9.020181500000003,10.080325377078493,13.944289085235267,400,253,58.9713,-11.0287,Arsenal,73,52,0,43,9,467,170,412,605,126,363,72,284,27,118,609,366,412,460,17331,20804,85,565,2296,301,1921,316,134,62,155,40,11,410,2,28126,1048,5,4,0,1,29,4,209,126,210,11,4,3,51,8,133,86,49,15,7,7,0,763,763,18,1045,25,2,89,50,39,535
