team,INT,CR,ACR,CCOP,CCSP,BLK,TKL,FC,FS,P,AW,BR,DR,DW,IBS,OBS,DSP,PK,FKCR,CRN,FKS,SV,AKS,PKC,CL,PUNCH,ALB,ATB,LMT,TOFF,BCS
Bayern Munich,15.88802723661812,36.7410629846794,9.504444864762625,16.077170418006432,3.3572914696425196,2.8844335161717423,21.94060904104407,14.753168148288253,16.360885190088897,918.0064308681672,25.250614715339513,102.94117647058823,20.09646302250804,82.89199924342728,20.56932097597882,9.646302250803858,14.989597125023645,0.18914318138831096,2.5534329487421976,13.571023264611311,1.3240022697181766,2.2697181766597314,0.5201437488178552,0.2837147720824664,16.266313599394742,0.1418573860412332,61.09324758842444,1.46585965575941,0.04728579534707774,4.1611499905428415,2.458861358048042
Borussia Dortmund,19.935791217895613,23.715824357912183,5.9030654515327265,12.116818558409282,2.174813587406794,4.090720795360398,25.73529411764706,15.120132560066281,20.142916321458163,923.1565865782934,24.596106048053027,103.82145816072908,22.7837613918807,92.32601491300746,15.586164043082023,7.663628831814416,19.72866611433306,0.2071251035625518,2.5890637945318975,8.699254349627177,0.8802816901408451,4.660314830157415,0.15534382767191385,0.2589063794531898,32.51864125932063,0.6731565865782932,50.79743164871583,1.8641259320629662,0.05178127589063795,3.3140016570008286,2.6408450704225355
RasenBallsport Leipzig,24.955436720142604,36.60130718954248,9.269162210338681,17.112299465240643,3.1491384432560903,4.1592394533571,38.799762329174094,27.629233511586452,23.767082590612006,678.6096256684492,45.45454545454545,132.73915626856802,18.716577540106954,125.13368983957218,20.499108734402853,9.031491384432561,23.410576351752823,0.41592394533571003,3.2679738562091503,11.2893642305407,1.0695187165775402,5.64468211527035,1.0101010101010102,0.35650623885918004,39.69102792632205,0.35650623885918004,51.336898395721924,1.7231134878193701,0.17825311942959002,5.16934046345811,2.2578728461081403
Bayer Leverkusen,18.554388826587825,32.72504842491589,8.002854521357936,15.54694668161892,1.7331022530329288,5.046385972066469,30.482210215108573,18.860230400652462,20.389438270975635,930.2681211132632,29.258843918850033,118.10582118462634,17.280048934651848,96.08522785197266,17.432969721684167,9.939851157100621,20.644306249362828,0.25486797838719544,1.936996635742685,9.684983178713425,1.2743398919359772,4.689570802324396,0.7646039351615862,0.3058415740646345,32.72504842491589,0.45876236109695173,61.01539402589457,1.172392700581099,0.0,3.3642573147109793,2.24283820980732
Borussia M.Gladbach,17.433359577100436,31.773703745360475,7.873130131593745,14.509054099651332,2.586885614666517,5.736137667304015,28.11832189854909,18.6705657406366,20.526374985940837,834.8329771679226,25.13777977730289,108.93037903497918,15.690023619390393,88.01034754245866,16.083680125970083,9.841412664492184,17.09593971431785,0.3936565065796873,2.1932291080868294,10.628725677651557,0.899786300753571,6.467214036666292,0.16870993139129456,0.16870993139129456,33.067146552693735,0.22494657518839276,60.00449893150377,1.0684962321448657,0.11247328759419638,3.9365650657968727,1.6870993139129455
Wolfsburg,24.089635854341736,38.15126050420168,9.859943977591037,12.661064425770308,2.689075630252101,5.322128851540616,30.252100840336134,20.056022408963585,24.929971988795515,681.4565826330531,35.74229691876751,116.58263305322127,14.117647058823529,103.0252100840336,15.070028011204482,8.907563025210084,18.543417366946777,0.2801120448179272,2.57703081232493,9.803921568627452,0.8403361344537814,6.162464985994397,0.2801120448179272,0.33613445378151263,41.40056022408963,0.9523809523809523,81.17647058823529,0.8963585434173669,0.22408963585434172,3.753501400560224,2.072829131652661
Eintracht Frankfurt,23.47998022738507,42.38754325259515,9.577360355907068,12.975778546712803,3.398418190805734,6.364310430054374,37.81512605042017,26.69303015323776,21.81166584280771,609.3054869006426,52.27385071675729,148.17103311913,18.598615916955016,129.26347009391992,18.289668808699947,8.032624814631735,22.800296589223926,0.24715768660405338,3.6455758774097875,11.307464162135442,0.6796836381611469,7.847256549678694,0.8032624814631734,0.061789421651013345,41.337123084527924,0.8650519031141868,67.5976272862086,1.2357884330202669,0.061789421651013345,5.190311418685121,2.7805239742956003
Werder Bremen,23.380055147058822,38.8327205882353,9.42095588235294,15.739889705882351,2.2403492647058822,6.2614889705882355,31.70955882352941,25.10340073529412,20.105698529411764,767.8079044117648,35.15625,118.6810661764706,12.06341911764706,98.23069852941177,17.233455882352942,9.823069852941176,18.784466911764703,0.22977941176470587,3.159466911764706,9.650735294117647,0.6318933823529412,6.204044117647058,0.28722426470588236,0.28722426470588236,44.404871323529406,0.8042279411764706,62.385110294117645,0.8042279411764706,0.11488970588235294,2.297794117647059,1.723345588235294
Hoffenheim,22.281639928698752,37.098930481283425,9.971033868092691,20.276292335115862,3.119429590017825,5.793226381461675,31.974153297682708,26.236631016042782,19.77495543672014,749.2201426024955,30.135918003565063,117.6470588235294,19.607843137254903,99.98885918003565,21.780303030303028,12.366310160427807,20.10918003565062,0.38992869875222813,1.6711229946524062,10.138146167557931,0.8355614973262031,6.851604278074866,0.38992869875222813,0.38992869875222813,33.589572192513366,0.44563279857397503,53.03030303030303,0.9469696969696969,0.16711229946524064,3.676470588235294,2.339572192513369
Fortuna Duesseldorf,28.285638579756228,37.29464758876524,10.46634870164282,15.23582405935347,3.3783783783783785,7.419183889772125,42.064122946475884,29.345521992580814,28.086910439851618,710.9167991520932,43.45521992580816,133.74403815580285,15.765765765765765,127.11976682564917,17.554319024907258,11.128775834658187,17.488076311605724,0.4636989931107578,2.7821939586645468,9.80392156862745,1.1261261261261262,7.75039745627981,0.2649708532061473,0.5299417064122947,49.74827768945416,1.6560678325384208,81.34605193428723,1.192368839427663,0.13248542660307366,3.3121356650768417,2.0535241123476418
