Team,ppda_coef,deep,S,CR,CCOP,CCSP,P,DR,IBS,OBS,TBOX,FKCR,CRN,CRNCR,FKS,ALB,ATB,TOFF,BCS,oppda_coef,deep_allowed,INT,BLK,TKL,FC,AW,BR,DW,AKS,CL,PUNCH,LMT,poss
Bayern Munich,-0.8988500863455772,2.9738057027931433,2.7755925790482285,1.6113778447909983,1.7959068934440068,2.673514348760417,2.3709400691849774,2.120765489866482,3.1882024018295456,0.9872913671499998,3.3970463766566885,0.7399746363027438,3.73146434577738,3.892678622201447,1.5104888663205118,2.1433954757147684,1.2848513929611816,1.4145290244605508,2.468761277824305,5.209414401240216,-2.4143444832986,-0.8414028511335763,-1.9181734023408343,-2.081226374320248,-1.795271285162403,-0.7160875464684148,1.3604790372863789,-0.9481875563483609,0.4073112970555678,-3.0838516465148675,-1.6808981153510703,-0.5962723981058432,2.4748042317933168
Borussia Dortmund,1.3908675830663455,0.8075889386215385,0.11858164060706355,-1.7161946587839203,-0.3054164925881282,-0.1285902281876616,1.8541166790356052,2.3666556818694167,0.6301850471922541,-0.7901672024736865,0.9600623005780063,0.3888226075558282,-0.0903457994045573,-0.3435385575408642,-0.15095965738802794,-0.2140313749593147,1.75080521301683,-0.14878179648895082,2.3692110028046227,1.2458015454797529,-0.9666552333382114,0.2386640246732976,-1.1548033418685433,-1.4697641891336433,-2.1154071940068926,-1.2025028415894619,-0.4036104335322154,-0.7134289958717188,-1.157638169268842,-0.6625329270878807,0.09680964949255846,-0.5962723981058432,1.3796738701702511
RasenBallsport Leipzig,-0.11702940198915075,0.5092477076278442,0.8074363283510694,-0.0680552996464996,0.7650690059565445,0.9342770251374716,-0.233706436151676,0.31757074851163075,1.4701310442373343,-0.6632058760719941,0.8575723160700242,0.8277626434894733,0.6162073366794978,0.7650042558496474,8.111749456663422e-05,-1.100909000454066,1.0984698649389222,1.3493910735876542,1.0750574275487514,-0.11310269026679115,-0.9459739583387772,1.0101403645353502,-1.5364883721046896,1.4207843226575794,0.6537684174979438,1.1883519988360258,1.945090082848353,1.814138171926814,1.5810233967988752,-0.3215021215347831,-1.1475857858979814,0.7083800170211614,-0.10078013720907618
Bayer Leverkusen,-0.2715380748903469,1.0670160960073594,1.3416501678260124,0.20315750628750665,1.1020736999428304,-0.901584594242304,1.9916321081926256,0.7109950557163253,1.4128619989842608,0.7016283827461932,1.2276750379044037,-0.6646334786849206,0.6162073366794978,1.3192756625449025,1.0573665416727287,1.4232811644156105,0.5393252808721443,-0.018505894743159026,1.672359077666846,1.1020212310998487,-0.8425675833416071,-0.22422177924393502,-0.3066143857882204,0.4016806806799054,-0.8668771495133822,-0.3863144650304161,2.79636581585965,0.08475010974887054,1.1897860302177723,-0.5431721451442962,-0.6142734564448928,-1.2485986056693454,1.5621955971074308
Borussia M.Gladbach,2.184873574425541,0.4054768446735158,0.2732224888761264,-0.6000496497478189,0.17035484009839258,0.25790695483965964,0.8820585625062373,-0.2725657122954126,0.34383982092688553,0.06682175073773429,0.17430575268347825,-0.5768454714981919,0.5840912850393135,0.7650042558496474,-0.3020004322706225,0.4378615805325543,0.1665622248276255,0.2420459087484241,0.2786552273912918,2.138307936735455,0.4396714666233089,-1.4144995607453874,-0.1793860423761717,-1.4141767177530429,-1.4751353763179125,-1.4333439985960612,-1.1010411545535197,-2.4193412020019966,-1.157638169268842,-1.0035637326409772,-1.5031273388667072,0.05605380945765902,0.4670652354843653
Wolfsburg,-0.07416970313621814,-0.3209191960067833,-0.2047583148646123,0.609976715188516,-0.4640069368169686,0.4511555463533203,0.008411961629523838,-0.7151680579006939,0.01931523115946796,-0.4410235548690332,-0.21857252126378615,0.03767057880891196,0.1344665620767333,-0.2643569280129702,-0.4530412071532171,3.3334791270196913,-0.1130100672057636,0.04663205612973712,0.9755071525290686,0.5591998893506622,-0.490985908351227,1.2305621759245071,-0.4762521770042851,-0.6730104326783699,-1.0589586948200764,0.14132246527038148,0.3758709605504185,-0.2752130163153165,-0.7664008026877397,0.2838275583219631,0.8078927554300102,1.3607062245846635,0.5076256192481825
Eintracht Frankfurt,0.16308916601071152,-0.3598332696146562,-0.1907000559310612,0.6621330240219779,-0.7811878252746496,1.127525616651132,-0.7420573117084363,0.08807323597555848,0.5347366384371305,-1.3614931712812992,0.21985685690924786,1.1789146722363897,0.39139497519820815,-0.30394774277691755,-1.057204306683595,0.6425256479544206,0.2597529888387552,1.1539772209689672,1.7719093526865282,-0.07727242731487519,0.23285871662896776,0.12845311897871772,-0.13697659457215566,0.6610888804560398,0.12554416790453554,1.8561424887479732,3.6271288806056177,1.704584177037715,0.7985486636366701,-0.3129763513959562,0.2745804259769214,-0.5962723981058432,-0.4861037829653389
Werder Bremen,0.3444404987012104,0.3535914131963514,0.4278633371451892,0.5578204063550529,0.4875357285560735,-0.4184631154581529,0.4001028285649248,-1.4036605955089099,0.6110953654412297,-0.06013957566395808,0.15153020057059344,0.8277626434894733,-0.0903457994045573,0.6462318115578061,-1.057204306683595,0.5818844427923856,-0.299391595228023,-1.712092617438452,0.2786552273912918,1.1359163261219922,0.0053646916351919975,0.7235920097294446,0.11748009225194173,-0.450660547155969,0.2055781451156587,-0.07303003766431773,0.22202594856042607,-1.2846748263648842,-0.7664008026877397,0.5737037430420954,0.2745804259769214,0.05605380945765902,0.2439831247833704
Hoffenheim,-0.7362549830252261,1.3264432533931805,2.4241361057094504,0.4535077886881279,2.271678226130528,1.224149912407962,0.4274755680179807,0.9240998887855352,2.3482564047844647,1.558617335957613,1.6205533118516675,-1.366937536178753,0.3592789235580229,0.7650042558496474,-0.4530412071532171,-0.4338557436716887,-0.019819303194633892,-0.018505894743159026,1.4732585276274812,0.7751417719871654,0.6878467666165179,0.5692967417570347,-0.09456714676813964,-0.04301909036489852,0.7498091901512913,-0.6583772572167648,0.6938173186630726,-0.6195255716810597,-0.3751634361066373,-0.8756771805585659,-0.7920442329292557,0.7083800170211614,0.5684661948939084
Fortuna Duesseldorf,2.444471912304426,-0.5544036376540221,-0.1063505023297547,-0.620912173281204,-0.3847117147025487,0.7410284336238109,-0.45822807285591205,-0.944665570436766,-0.0570434958446306,-0.15536057046522664,-0.6000630191546075,-0.3134814499380043,-0.7326668322082449,-0.3435385575408642,-0.15095965738802794,1.6582658344184942,0.07337146081649581,-1.060713108709493,0.3782055024109742,-0.16796121027013097,0.35694636662557205,1.1644356325077605,0.24470843566398975,1.087259494373976,0.3016189177690053,0.2897203519174802,-0.2600217556748873,0.3508098116224003,-0.9620194859782909,0.3861367999878928,2.2300589673049136,0.05605380945765902,-1.1350699231864148
