Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
,,,,,,,,,,,
23,Fri,2/22/19,20:30 (14:30),Werder Bremen,1,1–1,0.9,Stuttgart,41000,Weserstadion,Robert Hartmann
23,Sat,2/23/19,15:30 (09:30),Mainz 05,2.7,3–0,0.6,Schalke 04,26005,Opel Arena,Sven Jablonski
23,Sat,2/23/19,15:30 (09:30),Freiburg,1.9,5–1,1.4,Augsburg,23600,Schwarzwald-Stadion,Tobias Welz
23,Sat,2/23/19,15:30 (09:30),M'gladbach,1.3,0–3,0.8,Wolfsburg,48041,Stadion im Borussia-Park,Robert Kampka
23,Sat,2/23/19,15:30 (09:30),Bayern Munich,0.7,1–0,0.5,Hertha BSC,75000,Allianz Arena,Harm Osmers
23,Sat,2/23/19,18:30 (12:30),Düsseldorf,1.4,2–1,0.2,Nürnberg,41816,Merkur Spielarena,Sascha Stegemann
23,Sun,2/24/19,15:30 (09:30),Hannover 96,0.5,0–3,2,Eint Frankfurt,39100,HDI-Arena,Marco Fritz
23,Sun,2/24/19,18:00 (12:00),Dortmund,1.2,3–2,0.9,Bayer,81029,Signal Iduna Park,Christian Dingert
23,Mon,2/25/19,20:30 (14:30),RB Leipzig,1.3,1–1,1.2,Hoffenheim,33569,Red Bull Arena,Felix Brych
,,,,,,,,,,,
24,Fri,3/1/19,20:30 (14:30),Augsburg,0.9,2–1,2.2,Dortmund,30660,WWK Arena,Tobias Stieler
24,Sat,3/2/19,15:30 (09:30),Hertha BSC,1.3,2–1,0.6,Mainz 05,33981,Olympiastadion Berlin,Deniz Aytekin
24,Sat,3/2/19,15:30 (09:30),Nürnberg,1.1,0–1,1.3,RB Leipzig,34532,Max-Morlock-Stadion,Daniel Schlager
24,Sat,3/2/19,15:30 (09:30),Bayer,2.2,2–0,0.3,Freiburg,26607,BayArena,Guido Winkmann
24,Sat,3/2/19,15:30 (09:30),Eint Frankfurt,1.5,3–2,1.9,Hoffenheim,49500,Commerzbank-Arena,Manuel Gräfe
24,Sat,3/2/19,15:30 (09:30),Schalke 04,0.7,0–4,2.1,Düsseldorf,60322,Veltins-Arena,Felix Brych
24,Sat,3/2/19,18:30 (12:30),M'gladbach,0.7,1–5,4.6,Bayern Munich,54022,Stadion im Borussia-Park,Felix Zwayer
24,Sun,3/3/19,15:30 (09:30),Stuttgart,2,5–1,0.1,Hannover 96,55781,Mercedes-Benz Arena,Bastian Dankert
24,Sun,3/3/19,18:00 (12:00),Wolfsburg,1.2,1–1,1.5,Werder Bremen,28101,Volkswagen Arena,Daniel Siebert
,,,,,,,,,,,
25,Fri,3/8/19,20:30 (14:30),Werder Bremen,2.4,4–2,1.2,Schalke 04,42100,Weserstadion,Martin Petersen
25,Sat,3/9/19,15:30 (09:30),Freiburg,1.4,2–1,1.2,Hertha BSC,24000,Schwarzwald-Stadion,Robert Schröder
25,Sat,3/9/19,15:30 (09:30),Dortmund,2.1,3–1,0.7,Stuttgart,81365,Signal Iduna Park,Benjamin Cortus
25,Sat,3/9/19,15:30 (09:30),RB Leipzig,1.2,0–0,0.2,Augsburg,38590,Red Bull Arena,Sven Jablonski
25,Sat,3/9/19,15:30 (09:30),Bayern Munich,3.1,6–0,0.2,Wolfsburg,75000,Allianz Arena,Sascha Stegemann
25,Sat,3/9/19,18:30 (12:30),Mainz 05,0.6,0–1,1.5,M'gladbach,30405,Opel Arena,Markus Schmidt
25,Sun,3/10/19,15:30 (10:30),Hoffenheim,2.1,2–1,0.6,Nürnberg,29015,PreZero Arena,Christian Dingert
25,Sun,3/10/19,18:00 (13:00),Hannover 96,1.1,2–3,2.2,Bayer,33800,HDI-Arena,Sören Storks
25,Mon,3/11/19,20:30 (15:30),Düsseldorf,0.7,0–3,2,Eint Frankfurt,41419,Merkur Spielarena,Robert Hartmann
,,,,,,,,,,,
26,Fri,3/15/19,20:30 (15:30),M'gladbach,1.5,1–1,0.5,Freiburg,46832,Stadion im Borussia-Park,Robert Kampka
26,Sat,3/16/19,15:30 (10:30),Stuttgart,1,1–1,2.2,Hoffenheim,56743,Mercedes-Benz Arena,Felix Zwayer
26,Sat,3/16/19,15:30 (10:30),Wolfsburg,4,5–2,1.2,Düsseldorf,25350,Volkswagen Arena,Bastian Dankert
26,Sat,3/16/19,15:30 (10:30),Schalke 04,1.3,0–1,1.3,RB Leipzig,59913,Veltins-Arena,Guido Winkmann
26,Sat,3/16/19,15:30 (10:30),Augsburg,0.9,3–1,1.4,Hannover 96,28136,WWK Arena,Manuel Gräfe
26,Sat,3/16/19,18:30 (13:30),Hertha BSC,1.6,2–3,2.8,Dortmund,74649,Olympiastadion Berlin,Tobias Welz
26,Sun,3/17/19,13:30 (08:30),Bayer,1.5,1–3,1,Werder Bremen,30210,BayArena,Deniz Aytekin
26,Sun,3/17/19,15:30 (10:30),Eint Frankfurt,2.7,1–0,0.5,Nürnberg,51500,Commerzbank-Arena,Bibiana Steinhaus
26,Sun,3/17/19,18:00 (13:00),Bayern Munich,2.1,6–0,0.3,Mainz 05,75000,Allianz Arena,Frank Willenborg
,,,,,,,,,,,
27,Fri,3/29/19,20:30 (15:30),Hoffenheim,1.8,4–1,2,Bayer,28350,PreZero Arena,Harm Osmers
27,Sat,3/30/19,15:30 (10:30),Düsseldorf,1.4,3–1,0.9,M'gladbach,52500,Merkur Spielarena,Tobias Stieler
27,Sat,3/30/19,15:30 (10:30),Freiburg,0.8,1–1,2.2,Bayern Munich,24000,Schwarzwald-Stadion,Christian Dingert
27,Sat,3/30/19,15:30 (10:30),Werder Bremen,1.3,3–1,0.9,Mainz 05,40711,Weserstadion,Marco Fritz
27,Sat,3/30/19,15:30 (10:30),Nürnberg,1.1,3–0,0.9,Augsburg,42658,Max-Morlock-Stadion,Daniel Siebert
27,Sat,3/30/19,15:30 (10:30),Dortmund,1.3,2–0,0.2,Wolfsburg,81365,Signal Iduna Park,Markus Schmidt
27,Sat,3/30/19,18:30 (13:30),RB Leipzig,3.6,5–0,0.8,Hertha BSC,41939,Red Bull Arena,Sören Storks
27,Sun,3/31/19,15:30 (09:30),Hannover 96,0.9,0–1,0.6,Schalke 04,44500,HDI-Arena,Sven Jablonski
27,Sun,3/31/19,18:00 (12:00),Eint Frankfurt,0.9,3–0,0.5,Stuttgart,51500,Commerzbank-Arena,Felix Brych
,,,,,,,,,,,
28,Fri,4/5/19,20:30 (14:30),Mainz 05,1.6,5–0,1.5,Freiburg,27305,Opel Arena,Sven Jablonski
28,Sat,4/6/19,15:30 (09:30),Wolfsburg,1.5,3–1,0.9,Hannover 96,23512,Volkswagen Arena,Benjamin Cortus
28,Sat,4/6/19,15:30 (09:30),Hertha BSC,1.3,1–2,2.7,Düsseldorf,51604,Olympiastadion Berlin,Christian Dingert
28,Sat,4/6/19,15:30 (09:30),Stuttgart,3,1–1,2.7,Nürnberg,58757,Mercedes-Benz Arena,Frank Willenborg
28,Sat,4/6/19,15:30 (09:30),Schalke 04,0.7,1–2,2.3,Eint Frankfurt,61842,Veltins-Arena,Sascha Stegemann
28,Sat,4/6/19,15:30 (09:30),Bayer,1.8,2–4,1.5,RB Leipzig,28845,BayArena,Tobias Welz
28,Sat,4/6/19,18:30 (12:30),Bayern Munich,3.6,5–0,0.4,Dortmund,75000,Allianz Arena,Manuel Gräfe
28,Sun,4/7/19,15:30 (09:30),Augsburg,0.4,0–4,2.7,Hoffenheim,27552,WWK Arena,Robert Schröder
28,Sun,4/7/19,18:00 (12:00),M'gladbach,1.6,1–1,0.8,Werder Bremen,54022,Stadion im Borussia-Park,Daniel Schlager
,,,,,,,,,,,
29,Fri,4/12/19,20:30 (14:30),Nürnberg,1.9,1–1,1.2,Schalke 04,50000,Max-Morlock-Stadion,Robert Kampka
29,Sat,4/13/19,15:30 (09:30),Werder Bremen,1.5,2–1,0.6,Freiburg,42100,Weserstadion,Bibiana Steinhaus
29,Sat,4/13/19,15:30 (09:30),Hannover 96,0.9,0–1,1.8,M'gladbach,40200,HDI-Arena,Felix Brych
29,Sat,4/13/19,15:30 (09:30),Stuttgart,0.5,0–1,2.7,Bayer,53657,Mercedes-Benz Arena,Tobias Stieler
29,Sat,4/13/19,15:30 (09:30),RB Leipzig,1.8,2–0,0.5,Wolfsburg,41212,Red Bull Arena,Daniel Siebert
29,Sat,4/13/19,18:30 (12:30),Dortmund,1.6,2–1,3.2,Mainz 05,81365,Signal Iduna Park,Deniz Aytekin
29,Sun,4/14/19,13:30 (07:30),Hoffenheim,3,2–0,0.4,Hertha BSC,28010,PreZero Arena,Martin Petersen
29,Sun,4/14/19,15:30 (09:30),Düsseldorf,1,1–4,3.3,Bayern Munich,54600,Merkur Spielarena,Felix Zwayer
29,Sun,4/14/19,18:00 (12:00),Eint Frankfurt,1.7,1–3,2.4,Augsburg,51000,Commerzbank-Arena,Bastian Dankert
,,,,,,,,,,,
30,Sat,4/20/19,15:30 (09:30),Augsburg,2.8,6–0,1.5,Stuttgart,30660,WWK Arena,Manuel Gräfe
30,Sat,4/20/19,15:30 (09:30),Bayern Munich,2.5,1–0,0.2,Werder Bremen,75000,Allianz Arena,Tobias Welz
30,Sat,4/20/19,15:30 (09:30),Bayer,1.4,2–0,0.2,Nürnberg,26405,BayArena,Guido Winkmann
30,Sat,4/20/19,15:30 (09:30),Mainz 05,3.4,3–1,2.4,Düsseldorf,29205,Opel Arena,Markus Schmidt
30,Sat,4/20/19,18:30 (12:30),M'gladbach,1.6,1–2,2.4,RB Leipzig,51757,Stadion im Borussia-Park,Harm Osmers
30,Sat,4/20/19,20:30 (14:30),Schalke 04,1.9,2–5,1.8,Hoffenheim,58958,Veltins-Arena,Christian Dingert
30,Sun,4/21/19,15:30 (09:30),Freiburg,0.6,0–4,2.6,Dortmund,24000,Schwarzwald-Stadion,Robert Hartmann
30,Sun,4/21/19,18:00 (12:00),Hertha BSC,1.5,0–0,0.7,Hannover 96,38916,Olympiastadion Berlin,Sascha Stegemann
30,Mon,4/22/19,20:30 (14:30),Wolfsburg,2.3,1–1,1.1,Eint Frankfurt,26102,Volkswagen Arena,Marco Fritz
,,,,,,,,,,,
31,Fri,4/26/19,20:30 (14:30),Augsburg,0.3,1–4,2.3,Bayer,26404,WWK Arena,Frank Willenborg
31,Sat,4/27/19,15:30 (09:30),Dortmund,0.9,2–4,1.1,Schalke 04,80196,Signal Iduna Park,Felix Zwayer
31,Sat,4/27/19,15:30 (09:30),Hannover 96,1,1–0,2.3,Mainz 05,30400,HDI-Arena,Sören Storks
31,Sat,4/27/19,15:30 (09:30),RB Leipzig,1.8,2–1,1,Freiburg,40826,Red Bull Arena,Robert Schröder
31,Sat,4/27/19,15:30 (09:30),Eint Frankfurt,1.1,0–0,1.5,Hertha BSC,51500,Commerzbank-Arena,Sven Jablonski
31,Sat,4/27/19,15:30 (09:30),Düsseldorf,1.6,4–1,2.7,Werder Bremen,52500,Merkur Spielarena,Benjamin Cortus
31,Sat,4/27/19,18:30 (12:30),Stuttgart,1.6,1–0,1.5,M'gladbach,56730,Mercedes-Benz Arena,Bastian Dankert
31,Sun,4/28/19,15:30 (09:30),Hoffenheim,2.6,1–4,1.5,Wolfsburg,27725,PreZero Arena,Deniz Aytekin
31,Sun,4/28/19,18:00 (12:00),Nürnberg,1.7,1–1,2.2,Bayern Munich,50000,Max-Morlock-Stadion,Tobias Stieler
,,,,,,,,,,,
32,Fri,5/3/19,20:30 (14:30),Mainz 05,1.3,3–3,2.4,RB Leipzig,23805,Opel Arena,Bibiana Steinhaus
32,Sat,5/4/19,15:30 (09:30),Hertha BSC,2.5,3–1,1.6,Stuttgart,48668,Olympiastadion Berlin,Daniel Schlager
32,Sat,5/4/19,15:30 (09:30),Wolfsburg,1.4,2–0,0.7,Nürnberg,22512,Volkswagen Arena,Daniel Siebert
32,Sat,5/4/19,15:30 (09:30),M'gladbach,1.2,2–2,3.1,Hoffenheim,51807,Stadion im Borussia-Park,Sascha Stegemann
32,Sat,5/4/19,15:30 (09:30),Bayern Munich,3.3,3–1,0.8,Hannover 96,75000,Allianz Arena,Christian Dingert
32,Sat,5/4/19,18:30 (12:30),Werder Bremen,0.9,2–2,2.1,Dortmund,42100,Weserstadion,Marco Fritz
32,Sun,5/5/19,13:30 (07:30),Schalke 04,1.4,0–0,0.3,Augsburg,59841,Veltins-Arena,Manuel Gräfe
32,Sun,5/5/19,15:30 (09:30),Freiburg,1.1,1–1,0.8,Düsseldorf,24000,Schwarzwald-Stadion,Tobias Welz
32,Sun,5/5/19,18:00 (12:00),Bayer,2.8,6–1,0.1,Eint Frankfurt,30210,BayArena,Robert Hartmann
,,,,,,,,,,,
33,Sat,5/11/19,15:30 (09:30),Bayer,2,1–1,1.6,Schalke 04,30210,BayArena,Deniz Aytekin
33,Sat,5/11/19,15:30 (09:30),RB Leipzig,0.6,0–0,1.3,Bayern Munich,41939,Red Bull Arena,Manuel Gräfe
33,Sat,5/11/19,15:30 (09:30),Stuttgart,0.7,3–0,0.6,Wolfsburg,54068,Mercedes-Benz Arena,Felix Brych
33,Sat,5/11/19,15:30 (09:30),Hannover 96,1.8,3–0,0.6,Freiburg,38100,HDI-Arena,Robert Hartmann
33,Sat,5/11/19,15:30 (09:30),Dortmund,1.3,3–2,1.5,Düsseldorf,81365,Signal Iduna Park,Tobias Stieler
33,Sat,5/11/19,15:30 (09:30),Hoffenheim,2.7,0–1,1,Werder Bremen,30150,PreZero Arena,Bastian Dankert
33,Sat,5/11/19,15:30 (09:30),Nürnberg,0.8,0–4,2,M'gladbach,50000,Max-Morlock-Stadion,Frank Willenborg
33,Sat,5/11/19,15:30 (09:30),Augsburg,1.3,3–4,2.5,Hertha BSC,29307,WWK Arena,Guido Winkmann
33,Sun,5/12/19,18:00 (12:00),Eint Frankfurt,1.3,0–2,1.1,Mainz 05,51500,Commerzbank-Arena,Harm Osmers
,,,,,,,,,,,
34,Sat,5/18/19,15:30 (09:30),Düsseldorf,1.9,2–1,1,Hannover 96,50000,Merkur Spielarena,Benjamin Cortus
34,Sat,5/18/19,15:30 (09:30),Bayern Munich,4.2,5–1,0.8,Eint Frankfurt,75000,Allianz Arena,Sascha Stegemann
34,Sat,5/18/19,15:30 (09:30),Hertha BSC,1.3,1–5,2.1,Bayer,59287,Olympiastadion Berlin,Marco Fritz
34,Sat,5/18/19,15:30 (09:30),Wolfsburg,2.5,8–1,0.8,Augsburg,24456,Volkswagen Arena,Felix Zwayer
34,Sat,5/18/19,15:30 (09:30),Mainz 05,2.9,4–2,1.7,Hoffenheim,28305,Opel Arena,Deniz Aytekin
34,Sat,5/18/19,15:30 (09:30),M'gladbach,0.5,0–2,1.7,Dortmund,54022,Stadion im Borussia-Park,Manuel Gräfe
34,Sat,5/18/19,15:30 (09:30),Schalke 04,0.8,0–0,0.9,Stuttgart,61676,Veltins-Arena,Robert Schröder
34,Sat,5/18/19,15:30 (09:30),Werder Bremen,1,2–1,1.5,RB Leipzig,42100,Weserstadion,Felix Brych
34,Sat,5/18/19,15:30 (09:30),Freiburg,1.1,5–1,0.8,Nürnberg,24000,Schwarzwald-Stadion,Markus Schmidt
