Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
6,Fri,9/28/18,20:30 (14:30),Hertha BSC,1.1,2–0,1.8,Bayern Munich,74669,Olympiastadion Berlin,Marco Fritz
6,Sat,9/29/18,15:30 (09:30),Stuttgart,2.6,2–1,1.5,Werder Bremen,58569,Mercedes-Benz Arena,Tobias Welz
6,Sat,9/29/18,15:30 (09:30),Nürnberg,2.2,3–0,1.2,Düsseldorf,36102,Max-Morlock-Stadion,Harm Osmers
6,Sat,9/29/18,15:30 (09:30),Wolfsburg,1.1,2–2,0.9,M'gladbach,24100,Volkswagen Arena,Felix Zwayer
6,Sat,9/29/18,15:30 (09:30),Hoffenheim,1.7,1–2,1.5,RB Leipzig,28115,PreZero Arena,Deniz Aytekin
6,Sat,9/29/18,15:30 (09:30),Schalke 04,1,1–0,0.8,Mainz 05,61810,Veltins-Arena,Benjamin Cortus
6,Sat,9/29/18,18:30 (12:30),Bayer,1,2–4,2.6,Dortmund,30210,BayArena,Felix Brych
6,Sun,9/30/18,15:30 (09:30),Eint Frankfurt,2.2,4–1,0.3,Hannover 96,46300,Commerzbank-Arena,Robert Hartmann
6,Sun,9/30/18,18:00 (12:00),Augsburg,3.7,4–1,1.4,Freiburg,26488,WWK Arena,Robert Kampka
,,,,,,,,,,,
7,Fri,10/5/18,20:30 (14:30),Werder Bremen,0.9,2–0,0.5,Wolfsburg,42100,Weserstadion,Martin Petersen
7,Sat,10/6/18,15:30 (09:30),Dortmund,1.9,4–3,2,Augsburg,81365,Signal Iduna Park,Markus Schmidt
7,Sat,10/6/18,15:30 (09:30),Hannover 96,1.6,3–1,0.9,Stuttgart,40800,HDI-Arena,Sascha Stegemann
7,Sat,10/6/18,15:30 (09:30),Düsseldorf,0.7,0–2,1.4,Schalke 04,52000,Merkur Spielarena,Sven Jablonski
7,Sat,10/6/18,15:30 (09:30),Mainz 05,2,0–0,1.5,Hertha BSC,22405,Opel Arena,Daniel Schlager
7,Sat,10/6/18,18:30 (12:30),Bayern Munich,1.5,0–3,0.5,M'gladbach,75000,Allianz Arena,Frank Willenborg
7,Sun,10/7/18,13:30 (07:30),Freiburg,0.3,0–0,1.1,Bayer,23800,Schwarzwald-Stadion,Bastian Dankert
7,Sun,10/7/18,15:30 (09:30),Hoffenheim,2.2,1–2,0.9,Eint Frankfurt,29785,PreZero Arena,Daniel Siebert
7,Sun,10/7/18,18:00 (12:00),RB Leipzig,2.2,6–0,0.2,Nürnberg,37389,Red Bull Arena,Tobias Stieler
,,,,,,,,,,,
8,Fri,10/19/18,20:30 (14:30),Eint Frankfurt,3.4,7–1,0.9,Düsseldorf,51000,Commerzbank-Arena,Deniz Aytekin
8,Sat,10/20/18,15:30 (09:30),Stuttgart,1.1,0–4,1.2,Dortmund,59000,Mercedes-Benz Arena,Manuel Gräfe
8,Sat,10/20/18,15:30 (09:30),Wolfsburg,1.3,1–3,2.6,Bayern Munich,30000,Volkswagen Arena,Guido Winkmann
8,Sat,10/20/18,15:30 (09:30),Bayer,2.1,2–2,0.6,Hannover 96,26435,BayArena,Patrick Ittrich
8,Sat,10/20/18,15:30 (09:30),Augsburg,0.2,0–0,0.9,RB Leipzig,28703,WWK Arena,Tobias Welz
8,Sat,10/20/18,15:30 (09:30),Nürnberg,1.3,1–3,1.9,Hoffenheim,36472,Max-Morlock-Stadion,Felix Zwayer
8,Sat,10/20/18,18:30 (12:30),Schalke 04,1.3,0–2,0.4,Werder Bremen,62271,Veltins-Arena,Christian Dingert
8,Sun,10/21/18,15:30 (09:30),Hertha BSC,1,1–1,0.7,Freiburg,53716,Olympiastadion Berlin,Benjamin Cortus
8,Sun,10/21/18,18:00 (12:00),M'gladbach,2.4,4–0,1.4,Mainz 05,51123,Stadion im Borussia-Park,Sören Storks
,,,,,,,,,,,
9,Fri,10/26/18,20:30 (14:30),Freiburg,1.6,3–1,1.2,M'gladbach,24000,Schwarzwald-Stadion,Robert Hartmann
9,Sat,10/27/18,15:30 (09:30),Hannover 96,0.7,1–2,1.6,Augsburg,37600,HDI-Arena,Robert Kampka
9,Sat,10/27/18,15:30 (09:30),Dortmund,3.6,2–2,2.2,Hertha BSC,81000,Signal Iduna Park,Sascha Stegemann
9,Sat,10/27/18,15:30 (09:30),Düsseldorf,0.5,0–3,1.9,Wolfsburg,38043,Merkur Spielarena,Daniel Schlager
9,Sat,10/27/18,15:30 (09:30),Mainz 05,0.3,1–2,1.9,Bayern Munich,33305,Opel Arena,Harm Osmers
9,Sat,10/27/18,18:30 (12:30),Hoffenheim,2.8,4–0,0.6,Stuttgart,30150,PreZero Arena,Frank Willenborg
9,Sun,10/28/18,13:30 (08:30),Nürnberg,1.2,1–1,1.4,Eint Frankfurt,42154,Max-Morlock-Stadion,Robert Schröder
9,Sun,10/28/18,15:30 (10:30),RB Leipzig,0.6,0–0,0.4,Schalke 04,41939,Red Bull Arena,Felix Brych
9,Sun,10/28/18,18:00 (13:00),Werder Bremen,1.8,2–6,3.9,Bayer,40400,Weserstadion,Marco Fritz
,,,,,,,,,,,
10,Fri,11/2/18,20:30 (15:30),Stuttgart,1,0–3,3.2,Eint Frankfurt,58016,Mercedes-Benz Arena,Sven Jablonski
10,Sat,11/3/18,15:30 (10:30),Bayer,1.6,1–4,1.7,Hoffenheim,27589,BayArena,Tobias Stieler
10,Sat,11/3/18,15:30 (10:30),Augsburg,1.6,2–2,1.3,Nürnberg,30660,WWK Arena,Patrick Ittrich
10,Sat,11/3/18,15:30 (10:30),Wolfsburg,0.6,0–1,1.4,Dortmund,30000,Volkswagen Arena,Daniel Siebert
10,Sat,11/3/18,15:30 (10:30),Bayern Munich,1.9,1–1,0.4,Freiburg,75000,Allianz Arena,Felix Zwayer
10,Sat,11/3/18,15:30 (10:30),Schalke 04,2.8,3–1,1.9,Hannover 96,61959,Veltins-Arena,Markus Schmidt
10,Sat,11/3/18,18:30 (13:30),Hertha BSC,1.3,0–3,3.4,RB Leipzig,50382,Olympiastadion Berlin,Deniz Aytekin
10,Sun,11/4/18,15:30 (09:30),M'gladbach,3.4,3–0,0.7,Düsseldorf,54022,Stadion im Borussia-Park,Felix Brych
10,Sun,11/4/18,18:00 (12:00),Mainz 05,0.8,2–1,1.5,Werder Bremen,25105,Opel Arena,Guido Winkmann
,,,,,,,,,,,
11,Fri,11/9/18,20:30 (14:30),Hannover 96,2,2–1,2.9,Wolfsburg,35800,HDI-Arena,Marco Fritz
11,Sat,11/10/18,15:30 (09:30),Düsseldorf,2.7,4–1,0.8,Hertha BSC,38743,Merkur Spielarena,Robert Hartmann
11,Sat,11/10/18,15:30 (09:30),Nürnberg,0.6,0–2,1.6,Stuttgart,50000,Max-Morlock-Stadion,Christian Dingert
11,Sat,11/10/18,15:30 (09:30),Freiburg,1.1,1–3,1,Mainz 05,24000,Schwarzwald-Stadion,Sascha Stegemann
11,Sat,11/10/18,15:30 (09:30),Hoffenheim,2.2,2–1,1.3,Augsburg,27009,PreZero Arena,Robert Schröder
11,Sat,11/10/18,15:30 (09:30),Werder Bremen,1.5,1–3,1.9,M'gladbach,42100,Weserstadion,Sören Storks
11,Sat,11/10/18,18:30 (12:30),Dortmund,2.4,3–2,2,Bayern Munich,81365,Signal Iduna Park,Manuel Gräfe
11,Sun,11/11/18,15:30 (09:30),RB Leipzig,2,3–0,0.3,Bayer,36155,Red Bull Arena,Martin Petersen
11,Sun,11/11/18,18:00 (12:00),Eint Frankfurt,1.6,3–0,0.8,Schalke 04,50700,Commerzbank-Arena,Benjamin Cortus
,,,,,,,,,,,
12,Fri,11/23/18,20:30 (14:30),Bayer,2.8,2–0,0.6,Stuttgart,24632,BayArena,Robert Schröder
12,Sat,11/24/18,15:30 (09:30),Wolfsburg,1.5,1–0,0.5,RB Leipzig,22832,Volkswagen Arena,Tobias Stieler
12,Sat,11/24/18,15:30 (09:30),Mainz 05,0.9,1–2,1.2,Dortmund,33305,Opel Arena,Deniz Aytekin
12,Sat,11/24/18,15:30 (09:30),Hertha BSC,3.2,3–3,1.6,Hoffenheim,44508,Olympiastadion Berlin,Tobias Welz
12,Sat,11/24/18,15:30 (09:30),Augsburg,2.3,1–3,3.5,Eint Frankfurt,30660,WWK Arena,Felix Zwayer
12,Sat,11/24/18,15:30 (09:30),Bayern Munich,2.5,3–3,1.6,Düsseldorf,75000,Allianz Arena,Sven Jablonski
12,Sat,11/24/18,18:30 (12:30),Schalke 04,2.7,5–2,2.3,Nürnberg,62271,Veltins-Arena,Guido Winkmann
12,Sun,11/25/18,15:30 (09:30),Freiburg,2.8,1–1,2.2,Werder Bremen,24000,Schwarzwald-Stadion,Bastian Dankert
12,Sun,11/25/18,18:00 (12:00),M'gladbach,1.5,4–1,0.6,Hannover 96,48692,Stadion im Borussia-Park,Daniel Siebert
,,,,,,,,,,,
