Team,xG,npxG,ppda_coef,deep,G,A,AOP,ASP,S,SOG,CR,ACR,CC,BCC,CCOP,CCSP,FS,P,AP,ACRO,DR,IBS,IBSOG,IBG,OBS,OBSOG,OBG,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,ALB,ATB,TOFF,BCM,BCS,ATTDR,xGA,npxGA,oppda_coef,deep_allowed,INT,BLK,TKL,TKLW,FC,AW,BR,DW,DSP,OWN,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,LMT,poss
Atalanta,1.4744479117102567,1.634160705840886,-1.1523936622274253,1.590649332099266,1.4463119082554472,1.8494506027968542,1.580618466843871,1.5363273916986535,1.8832630909501933,1.4573281766506645,0.9822080561262803,1.1705713768083774,2.1531314763473715,1.4667636010581158,1.9555406958585633,0.7410284336238109,0.8388551855374446,1.014291533172317,1.021518061077182,0.6668805256744075,0.46337931850635317,2.27993543851764,1.6807876079483304,1.4793837382261357,0.4761049740063456,0.41920349051298494,0.5651332890676112,1.1716971665388232,1.8171422879839372,-0.8277050479366723,-1.3521322782811533,1.206833672648948,0.04898126559961577,-1.8012571506815178,-1.4069534933663803,1.4681278643980722,2.613270187198112,1.4989415188840498,-0.5563848952307818,-0.5553726380195716,-1.0639789786497187,-0.17613062173304297,0.14694311661475623,-0.17963661532348033,0.8466992796339816,1.7457119118918754,0.6529085354132598,-1.080030855830191,-1.0274795779006929,0.3550867398103595,-1.2202729741207456,0.7456341908683604,-0.9003466550444466,-0.10153221813395114,0.02854467675791362,-0.4161594883770609,-0.4049726788486192,1.6714079036240488,0.2544352446898848,1.5528614424561349,1.2648691626244593,-0.4952811281299185,-0.3735023112790031,-1.0542935166658185,-0.8823042466125132,-1.1662251844549043,0.005778210301278207,-0.5065140461666343,-0.5065140461666343,-0.9665606448965645,-1.1956179231366681,-1.1956179231366681,0.3307185659193517,-1.2485986056693454,1.1565917594692585
Inter,0.9139247008123786,0.7799762209038846,-1.063742402205174,0.9407160325432096,0.26637182738106535,0.05996400621158416,-0.1394287394080624,0.8493919556895396,1.7952139955242687,0.8715392430709391,3.6888459776943963,3.40199427849463,1.9601304519421887,0.786873906859916,2.221597033216158,0.39521516459936523,0.690814948114262,1.3909925665977108,1.3220546498259549,3.719778386756542,-0.6513228852402831,1.5625652927159794,0.7674939585187159,0.36436374636833363,1.4132800281030444,0.645025763156216,-0.29996201836268555,1.336944716238455,1.2007039893496718,1.152416448132391,1.5199276991303234,-0.5599368885401095,0.04898126559961577,0.16242195744268426,-0.0955810797123896,3.163517327298331,2.400730023728504,3.1596618202855056,-1.3672353709162892,-1.7664339141198413,-1.0639789786497187,0.7869474655113697,-0.10320051309932894,-0.587605886580039,1.3043151757800364,0.23149983396091608,-0.6828531912727314,-1.399429620137015,-1.3542197654966424,1.1774561271605561,-0.702152610977028,-2.173214637842805,-0.5588389964121058,-0.4828427674289466,0.31997071924567594,-0.08675648743444145,-1.14262299259151,-0.5768884996683131,-1.313916682143555,-1.7533360998228633,1.2648691626244593,-1.488135503642485,1.8820657923578565,-0.7781506073116753,-0.691405691436351,-0.7566912945245946,-0.519303518531254,-0.5065140461666343,-0.5065140461666343,-0.9665606448965645,-1.6151755589158072,-1.6151755589158072,-2.0551523816339397,-1.2485986056693454,1.3999540620521598
AC Milan,-0.0947656998695203,0.016970539850797453,-0.1104231498018894,0.2907827329871527,0.1483778192936273,-0.09564352392626525,0.27010630969954075,-1.5548820703423578,1.1914487697464926,0.8182857036545998,0.5155463455110884,0.10071108147935277,1.2920499828473266,-0.15451182356836035,1.7249585368153157,-0.8151312769861925,0.44408121907562376,0.8469336437093332,0.705131672516102,0.7828133558420836,0.15536949905004507,0.1961459673794847,0.09098014412640938,-0.09476213263193752,2.4356528143903526,2.3010557625399093,1.1418634940211427,0.7311409632830125,-0.11877964161127724,-0.8277050479366723,-0.8734556153792404,-0.5599368885401095,0.04898126559961577,-0.3874081928320921,-0.8449367446575272,1.1233028888929348,0.06278822556280056,1.0980779978561115,-0.15095965738802794,-0.25260731899450417,0.5834085477726155,0.08159450020560272,-0.4367253527181088,-0.6458872110452614,-0.14480182868246982,-0.21385665954818978,-0.4118290728147044,-1.0937184599136047,-1.0414860940955952,0.43545119862045384,-0.6651440136096191,-0.8912877873953333,-0.369112519394139,-0.03521733999569135,-0.3158679189094396,-0.4161594883770609,-1.3786710929892347,-1.0907848204208528,-1.0618601224738957,0.55884126634611,-0.3917912343349349,-1.2590152631395852,0.4723357275848192,-0.22586478860338885,-0.4368742845348018,-0.34715740459428457,-0.519303518531254,-0.5065140461666343,-0.5065140461666343,0.05261026295006618,-0.12765303206249734,-0.12765303206249734,1.4441250081108876,-0.664938314691475,0.6901473461853601
Roma,1.049294794677568,1.0853980145877624,0.48500574015349834,0.7666267558764088,0.7973448637745375,0.5267865966251334,0.5158273391641027,0.16245651968042601,1.644272689079824,1.3508210978179866,1.4862027035906884,2.301566546156204,1.8413605907697694,0.5253778706298393,1.7604327151296615,1.6055616061849238,-0.8882809177330213,0.173420186114395,0.07967418761500657,1.7489202739060499,0.3167079759081114,1.8358491577832794,1.1734022471540995,0.8234896253686054,0.6465004383875637,1.1719443993237548,0.2767681865908456,0.05113170687754495,0.8593703859736734,-0.03565644950904692,0.562574373326498,-0.5599368885401095,-0.8998883679929405,0.47661061474255695,0.09175783652389455,1.065832059642079,0.8066787977064328,1.0408117805664066,-0.6915266411783663,0.05015800003056323,0.5834085477726155,0.4749644231645884,0.3970867463288409,-1.4035444290931556,0.5416220155366123,0.6768563274700216,0.4012432825593768,-0.06625937225731574,-0.13468006072349442,0.3506566171704206,-0.20253654651701375,-0.08268777403615896,1.3384257737675647,-1.7925616106595859,-1.3755989825012982,-0.1870095746778474,0.42119567254341944,-0.5768884996683131,-0.5857532875423157,-0.8457524607658836,-0.3917912343349349,-0.34253430112798533,-0.09155629832439567,0.14232575720213494,-0.3096085810840267,0.6766773202314893,0.005778210301278207,0.42283881827567016,0.42283881827567016,0.05261026295006618,-0.2191928798688544,-0.2191928798688544,-1.2598620657828423,-1.2485986056693454,0.20342274101955315
Torino,-0.4961266396425842,-0.5072654044360363,-1.610312540351663,-0.12703153101316936,-0.02861319283753006,-0.3290548191330397,-0.46705677869414497,0.5059242376849828,0.34869314209834784,0.36563061861572144,0.5248795797233925,0.9565993177425725,0.2231212322955467,-0.8867007250125755,0.44788811749886354,-0.46931800796174766,1.9902792543844212,-0.4686043306059738,-0.4948810555811752,1.555698890293257,0.09670096201074876,0.02534355171242315,0.09098014412640938,-0.4227091890607027,0.7600974146417093,0.870848035799447,1.718593698974674,-0.36759934830473046,-0.14425229857963537,-0.03565644950904692,0.08389771042458513,1.206833672648948,-0.8998883679929405,0.47661061474255695,1.0284524177053165,-0.25599701312761336,-2.062613409133293,-0.2190449998071117,0.7950325642450643,-0.858137957044639,-1.0639789786497187,0.45461770301153687,-0.6034877725274987,0.05348868253740996,-0.6024177248285242,-1.104569646566401,-0.0149723279297358,-0.4229405479274971,-0.35528392266009984,-0.8910218511239023,-0.27655374125183085,0.5878585785055942,-0.06555015616539141,-0.15126837673764765,-0.024441876421679047,2.0472020838894864,1.180975495698597,1.5612872634627921,1.9068060247465433,1.3583792340867824,-1.220121432814632,-1.1826418496386184,1.3181737664486417,-0.2718886068290799,-0.05507717418247755,-0.5519243495594396,-0.1692490326428992,-0.5065140461666343,-0.5065140461666343,1.0717811707966969,-0.1963079179172654,-0.1963079179172654,-0.4645717499317451,-0.664938314691475,0.20342274101955315
Lazio,0.5467416385255477,0.5674763142599636,-0.20302717000329248,1.2424707787656646,0.20737482333734608,-0.017839758857340543,-0.057521729586541843,0.16245651968042601,1.5184882670427873,0.6585250854055836,0.4128807691757457,0.5286551996109626,1.722590729597349,0.5776770778758548,1.991014874172909,0.22230853008714282,-0.9540765788099911,0.36322852416387763,0.3268701039185093,0.4736591420616138,0.18470376756969423,1.2380407029485618,0.7336682677991008,0.036416689939568446,1.3848807840395083,0.26865530875083043,0.8534983915443768,0.3102273932933829,0.9561664824534342,-0.03565644950904692,0.562574373326498,-0.5599368885401095,-0.8998883679929405,-0.7801440144569325,-0.2829199959486742,1.008361230391223,1.1963357640673835,1.0408117805664066,0.25446558045472595,-1.1609032760697064,-0.24028521543855155,-0.10830822122287295,0.4804679562335361,1.3356778207723083,1.075507227707009,-0.3029279582500108,0.24637235772621924,-0.6543037314125388,-0.6649701448633286,0.22156851783270956,-0.6281354162422109,0.23286345068937203,0.6554104565028835,0.19688473348821903,0.24049088947628608,0.40018707917638807,-0.43447869139833467,0.6894988621861617,-0.6627705696636009,-1.2131077432413282,1.2648691626244593,-0.4952811281299185,-0.09155629832439567,-0.40996006150615155,-0.627772839710964,-0.040006987146552216,-0.1692490326428992,-0.041837613945482084,-0.041837613945482084,0.05261026295006618,-0.4327858580836886,-0.4327858580836886,1.1260088817704492,-0.664938314691475,0.10202178161001005
Sampdoria,-0.022161669105075416,-0.35065483188498286,-0.9518347935870631,0.6969910452096884,0.4433628395122227,0.44898283155620833,0.5158273391641027,-0.18101119832413073,-0.05381700842016847,0.3123770791993821,-0.5391091204792462,-0.8163120288026691,-0.35588184091999997,-0.04991340907632974,-0.1729100030021897,-1.6796644495473059,1.1020378298453248,0.75829810643277,0.7636540102846252,-0.41515922255723553,-0.7833270935787003,-0.623705627822412,0.09098014412640938,0.4955425689398396,0.8736943908958541,0.5697516722751388,-0.01159691588591997,0.701832907298549,-0.28180464620876877,2.3404893457738294,2.477281024934149,-0.5599368885401095,0.9978508991921721,0.08387479311771659,0.09175783652389455,-0.6582928178836066,-0.6456789860025637,-0.6771747381247541,-0.0158179114404435,-0.25260731899450417,0.5834085477726155,-1.3562403906099991,-0.26996293290871887,-0.23791793978870313,-0.2973404607311545,0.40964243136455813,-1.1087482345639172,0.07093077568764675,-0.07936231941259918,0.1471485968861607,-0.27655374125183085,-1.0293414482127532,0.12417632085257595,0.047676257677133946,0.7968496978620118,0.2712902527205796,-1.4745656337758108,0.03795174123204736,-1.3349213954493588,1.5528614424561349,-0.3917912343349349,-0.11341406062508523,0.7542817405394269,-0.732126789085985,-0.7550385431617386,-0.34715740459428457,1.7560506397430524,0.8875152504968224,0.8875152504968224,0.05261026295006618,-0.2497061624709734,-0.2497061624709734,-0.14645562359130632,-0.664938314691475,0.750987921831086
Bologna,-0.3812615522338029,-0.33359886785364395,0.4074194618727661,-0.3475446147911172,-0.2646012090124067,-0.017839758857340543,-0.3851497688726244,1.5363273916986535,0.10970274022797852,-0.06039769671498861,0.36621459811422635,-0.266098162633456,-0.1628808165148181,-0.4160078597984371,-0.19064709215936257,0.04940189557492038,1.1349356603838097,-0.7546288768833046,-0.868570566540602,-0.028716455331648898,-0.8566627648778212,-0.11129838082122678,-0.01049692803243665,-0.16035154391769077,0.4761049740063456,-0.03244105477347722,-0.5883271208394512,-0.8196917012565537,-0.3174663659644704,-0.4316807487228596,0.08389771042458513,-0.5599368885401095,-0.8998883679929405,0.005327628792748253,-0.8449367446575272,0.4623883525080892,-0.2205986590633449,0.46814960766935293,0.6598908182974799,0.3529233190556306,0.5834085477726155,-0.6305407051511815,-1.1037750319556685,0.519739278259191,-0.6024177248285242,-0.12478536084636838,-0.4118290728147044,-0.2272681206936006,-0.08297803828825605,-0.7657309813251933,0.1490451284733663,-0.8321219327592959,0.8830822289244441,0.7439824781288651,0.9028228042211971,0.6006932536632,0.5834787415668551,-0.8888969801252113,0.940589212679513,-0.629661118133269,-0.3917912343349349,0.26845300687974805,-0.09155629832439567,0.18834957542782602,-0.3096085810840267,0.9838277376792216,-0.1692490326428992,-0.9711904783877866,-0.9711904783877866,-0.9665606448965645,0.12408154940498692,0.12408154940498692,0.6488346922597905,-0.664938314691475,-0.7700264693120596
Sassuolo,-0.26465373066540304,-0.21342244052934276,-0.2376777110404819,-0.451998180791198,0.03038381120618873,-0.17344728899518996,-0.3851497688726244,0.8493919556895396,0.2732224888761264,-0.2734118543803432,-0.33377796780856206,-0.9080143398308713,0.2231212322955467,-0.04991340907632974,0.44788811749886354,-0.7286779597300816,1.2829758978069934,0.5419574200537899,0.43964752565993515,-1.0334676501181748,0.40471078146705586,-0.5895451446889998,-0.4840565981070517,-0.16035154391769077,1.6404739806113358,0.41920349051298494,0.8534983915443768,0.3722731713881513,-0.5670984042543792,-0.4316807487228596,0.08389771042458513,-0.5599368885401095,-0.8998883679929405,-0.8586911787819008,-0.8449367446575272,-0.16979076925132955,0.7004087159716287,-0.19041189116225918,0.11932383450714151,0.05015800003056323,-1.0639789786497187,-1.0849507885693201,-0.35334414281341375,-0.06307396639303517,-0.22107114470681186,-0.12478536084636838,0.44964044656973884,0.7038180700910722,0.5809822455794017,-0.24898834831402228,-0.18403224783330963,-0.812399981213951,-0.3311672239905452,-1.9251913669361054,-1.7994914079380433,0.7725556889376104,-1.5557071682875288,-1.4486769009449434,-1.51696224409967,-0.08943276155173388,0.43653896414476223,0.573946660883615,0.4723357275848192,-0.1338171521520083,0.45398563962062183,-1.063841711972327,-0.1692490326428992,0.8875152504968224,0.8875152504968224,2.0909520786433275,-0.07425478750878828,-0.07425478750878828,0.1716605027491325,0.5023822672642657,0.6293067705396342
Udinese,-0.777036747757222,-0.9202137352055896,0.7838568885782838,-0.7421469752358663,-0.7955742454058783,-0.4846623492708891,-0.46705677869414497,-0.18101119832413073,-0.35569962130905614,-0.9923346365009159,-1.0337705337313503,-0.6329074067462647,-0.31134314298034227,-0.83440151776656,-0.01327620058763289,-1.160944546010638,0.36183664272941096,-0.8415150285557254,-0.984091222864927,-0.14464928549932496,0.008698156451804308,-1.1702733579570106,-1.3296988660974352,-0.9474244793467274,1.1576868315312179,0.19338121786975385,0.2767681865908456,-0.9930457345263565,-0.9033374762367065,0.7563921489185784,-0.8734556153792404,1.206833672648948,2.8955901663772847,-1.2514270004067412,-0.6575978284212428,-0.7732344763853194,-1.247876115833123,-0.6771747381247541,-1.0969518790211201,-0.858137957044639,-1.0639789786497187,-0.36603334316151864,-0.4367253527181088,-0.4710432376495934,-0.7549563568772092,-0.8373557504609374,-0.24727871517947345,0.8082112117531894,0.6156143452075876,-0.9668520537919809,1.1112686600259853,-0.7532341265779134,1.6040428415927184,0.14714857488452474,-0.20989481255025427,0.44315268799498997,0.22203008783283915,-1.595504421159954,0.36646038232084416,-0.39196064123739377,-0.3917912343349349,0.03933276637684794,-0.3735023112790031,0.832683030587493,0.5812513430713959,0.779060792714067,-1.5694669761963185,1.3521916827179747,1.3521916827179747,-0.9665606448965645,1.375126136091873,1.375126136091873,3.51187982932374,-1.2485986056693454,-1.0539491556587814
